"block_address","disposition","dispositiontext","location","location_address","location_city","location_state","location_zip","mapx","mapy","nopd_item","policedistrict","priority","timearrive","timeclosed","timecreate","timedispatch","type_","typetext","zip"
"078XX Arcadia Ln","UNF","UNFOUNDED","POINT (-89.97045522 30.05352087)",,,,,"3711986","567519","A0001114","7","2B",,"2014-01-01T00:41:06.000","2014-01-01T00:02:56.000","2014-01-01T00:29:09.000","94","DISCHARGING FIREARM","70128"
"Curran Blvd & Lady Gray St","UNF","UNFOUNDED","POINT (-89.97760198 30.04843643)",,,,,"3709747","565644","A0001214","7","2B",,"2014-01-01T00:52:45.000","2014-01-01T00:03:45.000","2014-01-01T00:32:05.000","94","DISCHARGING FIREARM","70127"
"074XX Kenyon Rd","DUP","DUPLICATE","POINT (-89.99427178 30.03758628)",,,,,"3704519","561636","A0001314","7","2B",,"2014-01-01T00:38:39.000","2014-01-01T00:03:50.000",,"94","DISCHARGING FIREARM","70127"
"061XX Laurel St","NAT","Necessary Action Taken","POINT (-90.1245811 29.92025466)",,,,,"3663740","518511","A0001414","2","1A","2014-01-01T00:50:21.000","2014-01-01T01:01:14.000","2014-01-01T00:03:58.000","2014-01-01T00:48:30.000","62A","BURGLAR ALARM, SILENT","70118"
"031XX Bienville St","UNF","UNFOUNDED","POINT (-90.09015023 29.96977386)",,,,,"3674451","536635","A0001514","1","2B",,"2014-01-01T00:10:56.000","2014-01-01T00:04:15.000","2014-01-01T00:08:53.000","94","DISCHARGING FIREARM","70119"
"007XX Saint Peter St","GOA","GONE ON ARRIVAL","POINT (-90.0650917 29.9583323)",,,,,"3682431","532561","A0001614","8","2B","2014-01-01T00:29:18.000","2014-01-01T00:37:33.000","2014-01-01T00:04:26.000",,"103F","FIGHT","70116"
"St Claude Ave & Louisa St (5C02)","NAT","Necessary Action Taken","POINT (-90.04239951 29.96738632)",,,,,"3689580","535934","A0001714","5","2B","2014-01-01T00:06:25.000","2014-01-01T00:13:11.000","2014-01-01T00:04:34.000","2014-01-01T00:06:21.000","94","DISCHARGING FIREARM","70117"
"028XX Saint Ann St","UNF","UNFOUNDED","POINT (-90.08397594 29.97218095)",,,,,"3676397","537532","A0001814","1","2B","2014-01-01T00:16:20.000","2014-01-01T01:24:54.000","2014-01-01T00:04:51.000","2014-01-01T00:14:44.000","94","DISCHARGING FIREARM","70119"
"032XX Morrice Duncan Dr","UNF","UNFOUNDED","POINT (-90.03254143 29.98972455)",,,,,"3692609","544092","A0001914","5","2H","2014-01-01T00:05:29.000","2014-01-01T00:34:36.000","2014-01-01T00:04:57.000","2014-01-01T00:05:07.000","94F","FIREWORKS","70126"
"Cherry St (3A01) & Palmetto St","UNF","UNFOUNDED","POINT (-90.11998742 29.97374715)",,,,,"3664989","537979","A0002014","3","2B","2014-01-01T00:10:19.000","2014-01-01T00:17:43.000","2014-01-01T00:05:02.000","2014-01-01T00:05:50.000","94","DISCHARGING FIREARM","70118"
"St Roch Ave & Peace Ct (5L01)","UNF","UNFOUNDED","POINT (-90.05327622 29.98148121)",,,,,"3686079","541021","A0002114","5","2B","2014-01-01T00:29:40.000","2014-01-01T00:29:53.000","2014-01-01T00:05:48.000","2014-01-01T00:22:18.000","94","DISCHARGING FIREARM","70117"
"Iberville St & N Tonti St","UNF","UNFOUNDED","POINT (-90.08318206 29.9642345)",,,,,"3676680","534645","A0002214","1","2B","2014-01-01T00:05:58.000","2014-01-01T00:10:00.000","2014-01-01T00:05:58.000",,"94","DISCHARGING FIREARM","70119"
"N Derbigny St & Gallier St","UNF","UNFOUNDED","POINT (-90.03779883 29.97272341)",,,,,"3691014","537891","A0002314","5","2B","2014-01-01T00:11:18.000","2014-01-01T00:12:27.000","2014-01-01T00:06:00.000","2014-01-01T00:10:04.000","94","DISCHARGING FIREARM","70117"
"041XX S Claiborne Ave","NAT","Necessary Action Taken","POINT (-90.10043437 29.9401279)",,,,,"3671311","525819","A0002414","2","1A","2014-01-01T01:52:35.000","2014-01-01T02:07:14.000","2014-01-01T00:06:16.000","2014-01-01T01:51:52.000","62A","BURGLAR ALARM, SILENT","70115"
"Benson St & Chase St","GOA","GONE ON ARRIVAL","POINT (-89.99626001 30.04285468)",,,,,"3703868","563545","A0002514","7","2H",,"2014-01-01T00:39:27.000","2014-01-01T00:06:23.000","2014-01-01T00:35:26.000","94F","FIREWORKS","70127"
"028XX Octavia St","UNF","UNFOUNDED","POINT (-90.11128234 29.94007064)",,,,,"3667876","525762","A0002614","2","1A",,"2014-01-01T01:00:10.000","2014-01-01T00:06:40.000","2014-01-01T00:46:17.000","94F","FIREWORKS","70115"
"009XX Forstall St","NAT","Necessary Action Taken","POINT (-90.02212464 29.96072564)",,,,,"3696027","533585","A0002714","5","2H","2014-01-01T00:22:50.000","2014-01-01T00:24:07.000","2014-01-01T00:06:59.000","2014-01-01T00:20:20.000","94F","FIREWORKS","70117"
"Lady Gray St & Curran Blvd","DUP","DUPLICATE","POINT (-89.97760198 30.04843643)",,,,,"3709747","565644","A0002814","7","2B",,"2014-01-01T00:37:37.000","2014-01-01T00:07:21.000",,"94","DISCHARGING FIREARM","70127"
"051XX Law St","NAT","Necessary Action Taken","POINT (-90.01616133 29.97768122)",,,,,"3697844","539772","A0002914","5","2B","2014-01-01T00:32:03.000","2014-01-01T00:34:52.000","2014-01-01T00:07:38.000","2014-01-01T00:24:40.000","94","DISCHARGING FIREARM","70117"
"Constance St & Amelia St","NAT","Necessary Action Taken","POINT (-90.09298683 29.92065295)",,,,,"3673747","518763","A0003014","6","1C",,"2014-01-01T00:17:58.000","2014-01-01T00:07:44.000","2014-01-01T00:15:14.000","94F","FIREWORKS","70115"
"087XX Dinkins St","UNF","UNFOUNDED","POINT (-89.99457894 30.04185151)",,,,,"3704404","563186","A0003114","7","2B",,"2014-01-01T00:37:43.000","2014-01-01T00:08:22.000","2014-01-01T00:36:23.000","94","DISCHARGING FIREARM","70127"
"032XX Trafalgar St","UNF","UNFOUNDED","POINT (-90.07811052 29.98741898)",,,,,"3678193","543093","A0003214","3","1C",,"2014-01-01T00:38:42.000","2014-01-01T00:08:47.000","2014-01-01T00:27:01.000","94F","FIREWORKS","70119"
"Downman Rd & Chef Menteur Blvd (7C01)","UNF","UNFOUNDED","POINT (-90.02077314 30.00976127)",,,,,"3696250","551421","A0003314","7","2B",,"2014-01-01T00:15:10.000","2014-01-01T00:08:47.000","2014-01-01T00:15:04.000","94","DISCHARGING FIREARM","70126"
"Palm St & General Ogden St","UNF","UNFOUNDED","POINT (-90.11801705 29.96993922)",,,,,"3665628","536601","A0003414","2","2B","2014-01-01T00:10:14.000","2014-01-01T00:17:47.000","2014-01-01T00:08:53.000","2014-01-01T00:11:14.000","94","DISCHARGING FIREARM","70118"
"023XX Chippewa St","NAT","Necessary Action Taken","POINT (-90.07500986 29.92564623)",,,,,"3679421","520641","A0003514","6","2B","2014-01-01T00:13:15.000","2014-01-01T00:19:04.000","2014-01-01T00:09:04.000","2014-01-01T00:10:30.000","94","DISCHARGING FIREARM","70130"
"027XX Hollygrove St","UNF","UNFOUNDED","POINT (-90.12566009 29.96436913)",,,,,"3663229","534549","A0003614","2","2B","2014-01-01T00:16:03.000","2014-01-01T00:17:38.000","2014-01-01T00:09:22.000","2014-01-01T00:10:45.000","94","DISCHARGING FIREARM","70118"
"Felicity St & Baronne St","NAT","Necessary Action Taken","POINT (-90.07970698 29.93813587)",,,,,"3677884","525166","A0003714","6","1A",,"2014-01-01T00:15:07.000","2014-01-01T00:10:00.000","2014-01-01T00:15:01.000","94F","FIREWORKS","70113"
"Pauger St & N Galvez St","UNF","UNFOUNDED","POINT (-90.06122557 29.97847528)",,,,,"3683574","539900","A0003814","5","2A","2014-01-01T00:20:09.000","2014-01-01T00:22:08.000","2014-01-01T00:10:10.000","2014-01-01T00:10:50.000","52F","FIRE","70119"
"020XX Feliciana St","GOA","GONE ON ARRIVAL","POINT (-90.04180883 29.97785243)",,,,,"3689724","539742","A0003914","5","2A","2014-01-01T00:28:13.000","2014-01-01T00:32:34.000","2014-01-01T00:10:30.000","2014-01-01T00:23:58.000","107","SUSPICIOUS PERSON","70117"
"S Claiborne Ave & Canal St (1E02)","UNF","UNFOUNDED","POINT (-90.07754633 29.95907108)",,,,,"3678485","532787","A0004014","1","1E","2014-01-01T01:50:12.000","2014-01-01T01:50:16.000","2014-01-01T00:10:35.000","2014-01-01T01:41:44.000","100","HIT & RUN","70112"
"Old Gentilly Rd & Louisa St","UNF","UNFOUNDED","POINT (-90.03566632 30.00403582)",,,,,"3691560","549285","A0004114","3","1C","2014-01-01T00:46:57.000","2014-01-01T00:54:07.000","2014-01-01T00:11:00.000","2014-01-01T00:27:11.000","20","AUTO ACCIDENT","70126"
"Maumus Ave & Woodland Dr","UNF","UNFOUNDED","POINT (-89.99300917 29.91425327)",,,,,"3705443","516793","A0004214","4","1C","2014-01-01T00:45:54.000","2014-01-01T00:49:34.000","2014-01-01T00:11:23.000","2014-01-01T00:42:49.000","94F","FIREWORKS","70131"
"002XX W Harrison Ave","NAT","Necessary Action Taken","POINT (-90.1172433 30.00588294)",,,,,"3665734","549674","A0004314","3","2C","2014-01-01T00:13:26.000","2014-01-01T00:20:38.000","2014-01-01T00:12:04.000",,"62A","BURGLAR ALARM, SILENT","70124"
"007XX St Peter","RTF","REPORT TO FOLLOW","POINT (-90.06351118 29.95592569)",,,,,"3682941","531692","A0004414","8","1E","2014-01-01T00:12:25.000","2014-01-01T01:31:41.000","2014-01-01T00:12:25.000","2014-01-01T01:01:22.000","67P","PICKPOCKET",
"006XX Congress St","UNF","UNFOUNDED","POINT (-90.04038494 29.96195452)",,,,,"3690240","533966","A0004514","5","2B","2014-01-01T00:16:19.000","2014-01-01T00:18:37.000","2014-01-01T00:12:54.000","2014-01-01T00:13:48.000","94","DISCHARGING FIREARM","70117"
"Toulon St & Calais St","UNF","UNFOUNDED","POINT (-89.9333942 30.03346001)",,,,,"3723799","560366","A0004614","7","2B","2014-01-01T00:57:49.000","2014-01-01T01:09:15.000","2014-01-01T00:13:09.000","2014-01-01T00:55:24.000","94","DISCHARGING FIREARM","70129"
"Clouet St & N Derbigny St","UNF","UNFOUNDED","POINT (-90.04239562 29.97374043)",,,,,"3689555","538245","A0004714","5","2H",,"2014-01-01T00:21:35.000","2014-01-01T00:13:41.000",,"94F","FIREWORKS","70117"
"Melpomene St & Constance St","NAT","Necessary Action Taken","POINT (-90.07046595 29.9370267)",,,,,"3680815","524795","A0004814","6","2H",,"2014-01-01T00:39:41.000","2014-01-01T00:13:47.000",,"94F","FIREWORKS","70130"
"006XX Saint Mary St","NAT","Necessary Action Taken","POINT (0 0)",,,,,"37369000","3513814","A0004914","6","2A","2014-01-01T00:17:25.000","2014-01-01T00:31:32.000","2014-01-01T00:14:01.000","2014-01-01T00:16:18.000","103M","MENTAL PATIENT","70130"
"N Rocheblave St & Painters St","UNF","UNFOUNDED","POINT (-90.04978575 29.98221449)",,,,,"3687181","541300","A0005014","5","1A","2014-01-01T00:53:43.000","2014-01-01T01:07:49.000","2014-01-01T00:14:12.000","2014-01-01T00:35:45.000","94F","FIREWORKS","70117"
"130XX Wales St","UNF","UNFOUNDED","POINT (-89.95802654 30.06183588)",,,,,"3715881","570590","A0005114","7","2B",,"2014-01-01T00:41:51.000","2014-01-01T00:14:20.000","2014-01-01T00:34:33.000","94","DISCHARGING FIREARM","70128"
"S Robertson St & 2nd St","GOA","GONE ON ARRIVAL","POINT (-90.08972682 29.94071481)",,,,,"3674700","526070","A0005214","6","2B",,"2014-01-01T01:23:24.000","2014-01-01T00:14:59.000","2014-01-01T00:34:14.000","94","DISCHARGING FIREARM","70113"
"029XX Conti St","UNF","UNFOUNDED","POINT (-90.08743937 29.96976176)",,,,,"3675310","536640","A0005314","1","1F","2014-01-01T00:40:49.000","2014-01-01T00:50:21.000","2014-01-01T00:15:04.000","2014-01-01T00:41:13.000","21U","UNDERAGE DRINKING VIOLATION","70119"
"Frenchmen St & Royal St","VOI","VOID","POINT (-90.05783503 29.96451459)",,,,,"3684704","534835","A0010814","8","1E",,"2014-01-01T00:54:34.000","2014-01-01T00:43:24.000",,"100","HIT & RUN","70116"
"Downman Rd (3W02) & Dwyer Rd","UNF","UNFOUNDED","POINT (-90.02171931 30.01831973)",,,,,"3695915","554530","A0005514","3","1A",,"2014-01-01T01:27:11.000","2014-01-01T00:15:14.000","2014-01-01T00:43:58.000","94F","FIREWORKS","70126"
"St Louis St & Bourbon St","RTF","REPORT TO FOLLOW","POINT (-90.06705979 29.95705191)",,,,,"3681813","532089","A0005614","8","0E","2014-01-01T00:15:23.000","2014-01-01T00:19:05.000","2014-01-01T00:15:23.000",,"21P","LOST PROPERTY","70112"
"004XX N Roadway St","NAT","Necessary Action Taken","POINT (-90.11894172 30.02532131)",,,,,"3665122","556737","A0005714","3","1A",,"2014-01-01T01:30:29.000","2014-01-01T00:16:25.000","2014-01-01T01:27:22.000","94F","FIREWORKS","70124"
"068XX Curran Blvd","NAT","Necessary Action Taken","POINT (-90.0139474 30.0338914)",,,,,"3698309","560220","A0005814","7","2H",,"2014-01-01T00:34:44.000","2014-01-01T00:16:45.000","2014-01-01T00:30:09.000","94F","FIREWORKS","70126"
"090XX Roger","UNF","UNFOUNDED","POINT (0 0)",,,,,"37369000","3513814","A0005914","0","2B","2014-01-01T00:16:53.000","2014-01-01T00:34:21.000","2014-01-01T00:16:53.000","2014-01-01T00:19:52.000","94","DISCHARGING FIREARM",
"N Robertson St & Dumaine St","UNF","UNFOUNDED","POINT (-90.07106307 29.96495673)",,,,,"3680514","534949","A0006014","1","2A","2014-01-01T00:21:22.000","2014-01-01T00:23:00.000","2014-01-01T00:17:07.000","2014-01-01T00:18:45.000","21","COMPLAINT OTHER","70116"
"053XX Michoud Blvd","NAT","Necessary Action Taken","POINT (-89.9312406 30.04134431)",,,,,"3724445","563241","A0006114","7","2C",,"2014-01-01T01:00:56.000","2014-01-01T00:17:16.000","2014-01-01T00:40:42.000","62A","BURGLAR ALARM, SILENT","70129"
"080XX Sheephead St","NAT","Necessary Action Taken","POINT (-90.01103186 30.03693119)",,,,,"3699219","561336","A0006214","7","2H",,"2014-01-01T00:28:39.000","2014-01-01T00:17:55.000","2014-01-01T00:22:24.000","94F","FIREWORKS","70126"
"Pratt Dr & Van Ave","UNF","UNFOUNDED","POINT (-90.07267584 30.00303858)",,,,,"3679851","548792","A0006314","3","2B",,"2014-01-01T01:26:57.000","2014-01-01T00:18:16.000",,"94","DISCHARGING FIREARM","70122"
"Mandolin St & Duplessis St","UNF","UNFOUNDED","POINT (-90.07750236 30.0009037)",,,,,"3678332","547999","A0006414","3","2B",,"2014-01-01T00:45:43.000","2014-01-01T00:18:19.000","2014-01-01T00:22:45.000","94","DISCHARGING FIREARM","70122"
"001XX S Genois St","NAT","Necessary Action Taken","POINT (-90.0962623 29.97090247)",,,,,"3672512","537025","A0006514","1","1H","2014-01-01T00:18:36.000","2014-01-01T01:07:09.000","2014-01-01T00:18:36.000",,"21","COMPLAINT OTHER","70119"
"Read Rd & Hayne Blvd (7I13)","UNF","UNFOUNDED","POINT (-89.98380879 30.04944919)",,,,,"3707779","565989","A0006614","7","2B",,"2014-01-01T00:28:49.000","2014-01-01T00:19:41.000","2014-01-01T00:28:45.000","94","DISCHARGING FIREARM","70127"
"014XX Canal St","NAT","Necessary Action Taken","POINT (-90.07463541 29.95679737)",,,,,"3679415","531970","A0006714","8","1H","2014-01-01T00:19:57.000","2014-01-01T00:38:11.000","2014-01-01T00:19:57.000",,"18","TRAFFIC INCIDENT","70112"
"021XX Mandeville St","UNF","UNFOUNDED","POINT (-90.05532209 29.97888589)",,,,,"3685441","540070","A0006814","5","2A","2014-01-01T00:25:25.000","2014-01-01T00:38:37.000","2014-01-01T00:20:27.000","2014-01-01T00:35:10.000","94","DISCHARGING FIREARM","70117"
"008XX Saint Louis St","RTF","REPORT TO FOLLOW","POINT (-90.06717422 29.95698593)",,,,,"3681777","532065","A0007014","8","1H","2014-01-01T00:24:21.000","2014-01-01T01:25:54.000","2014-01-01T00:24:21.000",,"21","COMPLAINT OTHER","70112"
"018XX Tchoupitoulas St","NAT","Necessary Action Taken","POINT (-90.06721762 29.92693292)",,,,,"3681884","521136","A0007114","6","1H","2014-01-01T00:24:54.000","2014-01-01T00:44:21.000","2014-01-01T00:24:54.000",,"18","TRAFFIC INCIDENT","70130"
"042XX Louisa St","UNF","UNFOUNDED","POINT (-90.03634795 30.00416815)",,,,,"3691344","549331","A0007214","3","1C","2014-01-01T00:57:27.000","2014-01-01T01:09:22.000","2014-01-01T00:25:19.000","2014-01-01T00:54:17.000","21M","MISSING ADULT","70126"
"019XX N Johnson St","RTF","REPORT TO FOLLOW","POINT (-90.0631263 29.97749169)",,,,,"3682976","539535","A0007314","5","2A","2014-01-01T00:39:46.000","2014-01-01T01:01:21.000","2014-01-01T00:26:00.000","2014-01-01T00:32:18.000","103","DISTURBANCE (OTHER)","70116"
"N Broad St & Lafitte St","NAT","Necessary Action Taken","POINT (-90.08411527 29.96915896)",,,,,"3676365","536432","A0007414","1","1H","2014-01-01T00:26:02.000","2014-01-01T00:45:25.000","2014-01-01T00:26:02.000",,"18","TRAFFIC INCIDENT","70119"
"046XX Saint Charles Ave","NAT","Necessary Action Taken","POINT (-90.10511505 29.92591993)",,,,,"3669884","520637","A0007514","2","1A","2014-01-01T01:33:45.000","2014-01-01T01:38:59.000","2014-01-01T00:26:13.000","2014-01-01T01:25:14.000","62A","BURGLAR ALARM, SILENT","70115"
"054XX Fontainebleau Dr","NAT","Necessary Action Taken","POINT (-90.10805461 29.95057691)",,,,,"3668857","529593","A0007614","2","1A","2014-01-01T02:48:25.000","2014-01-01T02:53:45.000","2014-01-01T00:26:58.000","2014-01-01T02:37:33.000","62A","BURGLAR ALARM, SILENT","70125"
"014XX Coliseum St","NAT","Necessary Action Taken","POINT (-90.07363795 29.93690842)",,,,,"3679811","524741","A0007714","6","1A",,"2014-01-01T01:15:15.000","2014-01-01T00:27:03.000",,"94F","FIREWORKS","70130"
"005XX Canal St","GOA","GONE ON ARRIVAL","POINT (-90.06790895 29.95189311)",,,,,"3681565","530210","A0007814","8","1C",,"2014-01-01T02:21:21.000","2014-01-01T00:27:52.000","2014-01-01T02:16:13.000","20","AUTO ACCIDENT","70130"
"112XX S Parkwood Ct","RTF","REPORT TO FOLLOW","POINT (-89.95634447 30.02991285)",,,,,"3716553","558988","A0007914","7","1B","2014-01-01T00:47:00.000","2014-01-01T02:24:59.000","2014-01-01T00:28:59.000","2014-01-01T00:31:00.000","29","DEATH","70128"
"049XX Sherwood Dr","NAT","Necessary Action Taken","POINT (-89.95234552 30.02693642)",,,,,"3717831","557921","A0008014","7","2C",,"2014-01-01T01:13:59.000","2014-01-01T00:29:08.000","2014-01-01T01:10:42.000","62A","BURGLAR ALARM, SILENT","70128"
"007XX Tchoupitoulas St","NAT","Necessary Action Taken","POINT (-90.06727836 29.94607038)",,,,,"3681788","528095","A0008114","8","2A","2014-01-01T00:42:10.000","2014-01-01T01:43:00.000","2014-01-01T00:30:41.000","2014-01-01T00:32:35.000","106","OBSCENITY, EXPOSING","70130"
"003XX Warrington Dr","NAT","Necessary Action Taken","POINT (-90.06585894 29.99963498)",,,,,"3682022","547578","A0008214","3","1A",,"2014-01-01T01:28:08.000","2014-01-01T00:32:31.000","2014-01-01T01:28:03.000","94F","FIREWORKS","70122"
"036XX Texas Dr","NAT","Necessary Action Taken","POINT (-90.02102967 29.91896438)",,,,,"3696547","518403","A0008314","4","1H","2014-01-01T01:03:07.000","2014-01-01T01:45:05.000","2014-01-01T00:32:52.000","2014-01-01T00:54:34.000","21","COMPLAINT OTHER","70114"
"Hammond St & Rosalia Dr","UNF","UNFOUNDED","POINT (-89.97351567 30.0225829)",,,,,"3711151","556258","A0008414","7","2B",,"2014-01-01T00:55:20.000","2014-01-01T00:32:54.000","2014-01-01T00:42:12.000","94","DISCHARGING FIREARM","70127"
"I-10 E & Morrison Rd Exit","UNF","UNFOUNDED","POINT (-90.01038812 30.02607893)",,,,,"3699468","557392","A0008514","7","2A","2014-01-01T01:08:10.000","2014-01-01T01:23:02.000","2014-01-01T00:33:34.000","2014-01-01T00:50:05.000","20","AUTO ACCIDENT","70126"
"139XX Linden St","UNF","UNFOUNDED","POINT (-89.95062878 30.06616606)",,,,,"3718202","572193","A0008614","7","2B",,"2014-01-01T01:11:15.000","2014-01-01T00:33:50.000","2014-01-01T00:41:16.000","94","DISCHARGING FIREARM","70128"
"Bienville St & Bourbon St","NAT","Necessary Action Taken","POINT (0 0)",,,,,"37369000","3513814","A0008714","8","2B","2014-01-01T00:34:12.000","2014-01-01T00:49:50.000","2014-01-01T00:34:12.000",,"24","MEDICAL",
"023XX Chippewa St","NAT","Necessary Action Taken","POINT (-90.07634511 29.92497754)",,,,,"3679001","520393","A0008814","6","2H",,"2014-01-01T00:39:25.000","2014-01-01T00:34:40.000",,"94F","FIREWORKS","70130"
"St Charles Ave & Erato St (6E04)","RTF","REPORT TO FOLLOW","POINT (-90.07435595 29.94045199)",,,,,"3679569","526027","A0008914","6","1C","2014-01-01T01:05:28.000","2014-01-01T02:38:25.000","2014-01-01T00:34:57.000","2014-01-01T00:54:53.000","20","AUTO ACCIDENT","70130"
"046XX Iberville St","RTF","REPORT TO FOLLOW","POINT (-90.10562794 29.97971459)",,,,,"3669512","540197","A0009014","3","2A","2014-01-01T00:41:22.000","2014-01-01T03:32:30.000","2014-01-01T00:35:13.000","2014-01-01T00:36:39.000","55","AGGRAVATED CRIMINAL DAMAGE","70119"
"077XX Marquis St","RTF","REPORT TO FOLLOW","POINT (-89.97353917 30.05145236)",,,,,"3711019","566756","A4147614","7","2B",,"2014-01-01T00:56:58.000","2014-01-01T00:35:54.000","2013-12-31T23:45:21.000","103D","DOMESTIC DISTURBANCE","70128"
"002XX Bourbon St","RTF","REPORT TO FOLLOW","POINT (-90.06886533 29.95503232)",,,,,"3681250","531348","A0009114","8","1B","2014-01-01T00:36:35.000","2014-01-01T00:55:50.000","2014-01-01T00:36:35.000",,"67F","THEFT BY FRAUD","70112"
"072XX Chef Menteur Hwy","UNF","UNFOUNDED","POINT (-90.00465835 30.01186882)",,,,,"3701341","552246","A0009214","7","2B","2014-01-01T01:03:48.000","2014-01-01T01:06:12.000","2014-01-01T00:38:16.000","2014-01-01T00:53:39.000","103D","DOMESTIC DISTURBANCE","70126"
"004XX Bourbon St","NAT","Necessary Action Taken","POINT (-90.06767875 29.95654114)",,,,,"3681619","531901","A0009314","8","1A","2014-01-01T00:38:40.000","2014-01-01T01:24:11.000","2014-01-01T00:38:40.000","2014-01-01T00:38:51.000","103","DISTURBANCE (OTHER)","70112"
"018XX Bienville St","NAT","Necessary Action Taken","POINT (-90.07728377 29.9613833)",,,,,"3678559","533628","A0009414","1","1H","2014-01-01T00:39:19.000","2014-01-01T00:44:35.000","2014-01-01T00:39:19.000","2014-01-01T00:44:26.000","21","COMPLAINT OTHER",
"Canal Blvd (3E02) & French St","NAT","Necessary Action Taken","POINT (-90.1084187 30.00284745)",,,,,"3668539","548600","A0009514","3","1H",,"2014-01-01T00:43:14.000","2014-01-01T00:39:46.000","2014-01-01T00:39:46.000","18","TRAFFIC INCIDENT","70124"
"Canal St (8A03) & Convention Center Blvd","NAT","Necessary Action Taken","POINT (-90.06404029 29.9497829)",,,,,"3682799","529456","A0009614","8","1A","2014-01-01T00:39:56.000","2014-01-01T01:49:05.000","2014-01-01T00:39:56.000","2014-01-01T00:41:34.000","21C","CURFEW VIOLATION",
"017XX Congress St","UNF","UNFOUNDED","POINT (-90.03708207 29.97261855)",,,,,"3691242","537856","A0009714","5","2A","2014-01-01T00:44:55.000","2014-01-01T01:11:52.000","2014-01-01T00:40:13.000","2014-01-01T00:41:07.000","107","SUSPICIOUS PERSON","70117"
"022XX Saint Claude Ave","NAT","Necessary Action Taken","POINT (-90.05485227 29.96898893)",,,,,"3685630","536473","A0009814","5","2C","2014-01-01T00:48:24.000","2014-01-01T00:52:11.000","2014-01-01T00:40:22.000","2014-01-01T00:41:20.000","62A","BURGLAR ALARM, SILENT","70117"
"008XX Howard Ave","NAT","Necessary Action Taken","POINT (-90.07420381 29.94419661)",,,,,"3679602","527389","A0009914","6","1A","2014-01-01T01:19:33.000","2014-01-01T01:21:33.000","2014-01-01T00:40:39.000","2014-01-01T01:11:16.000","62A","BURGLAR ALARM, SILENT","70113"
"011XX Antonine St","VOI","VOID","POINT (-90.09270002 29.92188096)",,,,,"3673833","519211","A0010014","6","1A",,"2014-01-01T00:48:18.000","2014-01-01T00:41:15.000",,"94F","FIREWORKS","70115"
"012XX S Broad St","NAT","Necessary Action Taken","POINT (-90.09720557 29.95409921)",,,,,"3672279","530911","A0010114","6","1A","2014-01-01T00:59:25.000","2014-01-01T01:10:49.000","2014-01-01T00:41:17.000","2014-01-01T00:57:03.000","62A","BURGLAR ALARM, SILENT","70125"
