"block_address","disposition","dispositiontext","location","location_address","location_city","location_state","location_zip","mapx","mapy","nopd_item","policedistrict","priority","timearrive","timeclosed","timecreate","timedispatch","type","typetext","zip"
"025XX Thalia St","RTF","REPORT TO FOLLOW","POINT (-90.08386573166727 29.944731889680263)",,,,,"3676541.00000000","527551.00000000","A0002211","6","2B","2011-01-01T00:07:17.000","2011-01-01T01:07:31.000","2011-01-01T00:02:55.000","2011-01-01T00:03:01.000","94","DISCHARGING FIREARMS","70113"
"N Coronet Ct & Parc Brittany Blv","NAT","NECESSARY ACTION TAKEN","POINT (-89.99987702628111 30.026528560892945)",,,,,"3702793.00000000","557595.00000000","A0002611","7","1H",,"2011-01-01T00:48:34.000","2011-01-01T00:02:56.000","2011-01-01T00:47:01.000","94F","FIREWORKS","70126"
"Eastview Dr & Hammond St","UNF","UNFOUNDED","POINT (-89.99274734380164 30.021126690685072)",,,,,"3705072.00000000","555657.00000000","A0002511","7","2B",,"2011-01-01T00:19:09.000","2011-01-01T00:03:04.000","2011-01-01T00:05:34.000","94","DISCHARGING FIREARMS","70126"
"Canal St & University Pl","NAT","NECESSARY ACTION TAKEN","POINT (-90.07189895551566 29.95490819254442)",,,,,"3680290.00000000","531293.00000000","A0002411","8","1H","2011-01-01T00:03:32.000","2011-01-01T02:55:31.000","2011-01-01T00:03:14.000","2011-01-01T00:03:26.000","21","COMPLAINT OTHER","70112"
"Almonaster Ave & Simmons Dr","UNF","UNFOUNDED","POINT (-90.04231515358799 29.994416448138217)",,,,,"3689496.00000000","545764.00000000","A0002811","5","2B",,"2011-01-01T00:22:35.000","2011-01-01T00:03:20.000","2011-01-01T00:04:56.000","94","DISCHARGING FIREARMS","70126"
"Lesseps St & Urquhart St","UNF","UNFOUNDED","POINT (-90.03197622404463 29.96695218330995)",,,,,"3692882.00000000","535814.00000000","A0003211","5","2B","2011-01-01T00:08:49.000","2011-01-01T01:13:57.000","2011-01-01T00:04:02.000","2011-01-01T00:08:27.000","94","DISCHARGING FIREARMS","70117"
"Felicity St & St Thomas St","NAT","NECESSARY ACTION TAKEN","POINT (-90.06909295924824 29.928621503060306)",,,,,"3681284.00000000","521744.00000000","A0003011","6","2B",,"2011-01-01T00:08:54.000","2011-01-01T00:04:15.000","2011-01-01T00:08:43.000","94F","FIREWORKS","70130"
"020XX Conti St","NAT","NECESSARY ACTION TAKEN","POINT (-90.07832281258267 29.963406593680034)",,,,,"3678222.00000000","534361.00000000","A0003311","1","1H",,"2011-01-01T00:12:26.000","2011-01-01T00:04:24.000","2011-01-01T00:06:25.000","94F","FIREWORKS","70112"
"Gen De Gaulle Dr & LA 407","NAT","NECESSARY ACTION TAKEN","POINT (-89.99321840474082 29.908952975784484)",,,,,"3705400.00000000","514865.00000000","A0002911","4","1H","2011-01-01T00:04:33.000","2011-01-01T00:08:56.000","2011-01-01T00:04:27.000","2011-01-01T00:04:29.000","21","COMPLAINT OTHER","70131"
"079XX Bass St","NAT","NECESSARY ACTION TAKEN","POINT (-89.94601782025316 30.07136898873696)",,,,,"3719638.00000000","574103.00000000","A0003611","7","1B","2011-01-01T00:59:30.000","2011-01-01T01:07:15.000","2011-01-01T00:05:05.000","2011-01-01T00:14:10.000","94","DISCHARGING FIREARMS","70128"
"017XX Elysian Fields Ave","RTF","REPORT TO FOLLOW","POINT (-90.0575239768015 29.97464656853339)",,,,,"3684762.00000000","538521.00000000","A0003411","5","1D","2011-01-01T00:13:51.000","2011-01-01T00:23:09.000","2011-01-01T00:05:22.000","2011-01-01T00:05:29.000","56","SIMPLE CRIMINAL DAMA","70116"
"007XX Bourbon St","NATM","MUNICIPAL NECESSARY ACTION TAK","POINT (-90.06559602680109 29.958601363590052)",,,,,"3682271.00000000","532658.00000000","A0003511","8","1H","2011-01-01T00:06:54.000","2011-01-01T00:13:30.000","2011-01-01T00:05:27.000","2011-01-01T00:05:30.000","21","COMPLAINT OTHER","70116"
"N Prieur St & St Roch Ave","UNF","UNFOUNDED","POINT (-90.05332567698778 29.976899297579013)",,,,,"3686082.00000000","539355.00000000","A0004011","5","2B","2011-01-01T00:10:52.000","2011-01-01T00:12:40.000","2011-01-01T00:05:30.000","2011-01-01T00:08:47.000","94","DISCHARGING FIREARMS","70117"
"Tchoupitoulas Exit & US90B E","DUP","DUPLICATE","POINT (-90.07222067097462 29.94144728685114)",,,,,"3680242.00000000","526397.00000000","A0004611","6","1C",,"2011-01-01T00:48:57.000","2011-01-01T00:05:57.000",,"20","AUTO ACCIDENT","70130"
"018XX Marigny St","UNF","UNFOUNDED","POINT (-90.05605095349556 29.97596602705658)",,,,,"3685223.00000000","539006.00000000","A0003711","5","2B","2011-01-01T00:14:27.000","2011-01-01T00:17:12.000","2011-01-01T00:06:03.000","2011-01-01T00:12:47.000","94","DISCHARGING FIREARMS","70117"
"De Montluzin St & Selma St","UNF","UNFOUNDED","POINT (-90.04980960758692 30.0105661321456)",,,,,"3687058.00000000","551610.00000000","A0003811","3","2B","2011-01-01T00:16:58.000","2011-01-01T00:19:29.000","2011-01-01T00:06:19.000","2011-01-01T00:13:49.000","94","DISCHARGING FIREARMS","70122"
"005XX Bourbon St","NAT","NECESSARY ACTION TAKEN","POINT (-90.0669833929221 29.95703347475466)",,,,,"3681838.00000000","532083.00000000","A0003911","8","1C","2011-01-01T00:28:53.000","2011-01-01T02:59:28.000","2011-01-01T00:06:21.000","2011-01-01T00:06:39.000","103","DISTURBANCE (OTHER)","70112"
"066XX Harbourview Dr","UNF","UNFOUNDED","POINT (-90.01195154901734 30.022308056503984)",,,,,"3698990.00000000","556016.00000000","A0004311","7","2B",,"2011-01-01T00:19:10.000","2011-01-01T00:06:31.000","2011-01-01T00:19:05.000","94","DISCHARGING FIREARMS","70126"
"023XX Laharpe St","UNF","UNFOUNDED","POINT (-90.07264216492227 29.976068246934798)",,,,,"3679970.00000000","538985.00000000","A0004111","1","2B",,"2011-01-01T00:08:40.000","2011-01-01T00:06:32.000","2011-01-01T00:08:36.000","94","DISCHARGING FIREARMS","70119"
"Patton St & Webster St","NAT","NECESSARY ACTION TAKEN","POINT (-90.12410700369237 29.921026224943134)",,,,,"3663888.00000000","518794.00000000","A0004411","2","1H",,"2011-01-01T01:43:25.000","2011-01-01T00:06:33.000","2011-01-01T01:43:17.000","21","COMPLAINT OTHER","70118"
"N Broad St & Republic St","UNF","UNFOUNDED","POINT (-90.07019622084253 29.98488874958143)",,,,,"3680709.00000000","542201.00000000","A0004211","5","2B","2011-01-01T00:13:08.000","2011-01-01T01:40:45.000","2011-01-01T00:06:34.000","2011-01-01T00:10:00.000","94","DISCHARGING FIREARMS","70119"
"018XX N Dorgenois St","GOA","GONE ON ARRIVAL","POINT (-90.06965193347357 29.981971291261228)",,,,,"3680893.00000000","541142.00000000","A0004811","5","2C","2011-01-01T00:26:49.000","2011-01-01T01:33:18.000","2011-01-01T00:07:10.000","2011-01-01T00:26:37.000","63","PROWLER","70119"
"001XX Bourbon St","NAT","NECESSARY ACTION TAKEN","POINT (-90.06978311579051 29.953908893404925)",,,,,"3680964.00000000","530937.00000000","A0004511","8","1H","2011-01-01T00:07:39.000","2011-01-01T00:13:55.000","2011-01-01T00:07:30.000","2011-01-01T00:07:33.000","21","COMPLAINT OTHER","70112"
"062XX Franklin Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.05173519969223 30.022759032915797)",,,,,"3686399.00000000","556037.00000000","A0005711","3","2H","2011-01-01T00:20:23.000","2011-01-01T00:22:57.000","2011-01-01T00:07:31.000","2011-01-01T00:19:25.000","21","COMPLAINT OTHER","70122"
"033XX Garden Oaks Dr","NAT","NECESSARY ACTION TAKEN","POINT (-90.02246612031831 29.922494595540936)",,,,,"3696078.00000000","519682.00000000","A0004711","4","2B","2011-01-01T00:12:03.000","2011-01-01T00:24:50.000","2011-01-01T00:07:39.000","2011-01-01T00:09:04.000","94","DISCHARGING FIREARMS","70114"
"021XX Pauger St","UNF","UNFOUNDED","POINT (-90.06069890483174 29.971388317714958)",,,,,"3683770.00000000","537325.00000000","A0004911","5","1B","2011-01-01T00:24:00.000","2011-01-01T00:30:19.000","2011-01-01T00:07:50.000","2011-01-01T00:13:04.000","94","DISCHARGING FIREARMS","70116"
"Annunciation St & Delachaise St","UNF","UNFOUNDED","POINT (-90.08870494382063 29.919788512441503)",,,,,"3675107.00000000","518464.00000000","A0005011","6","1B",,"2011-01-01T01:39:32.000","2011-01-01T00:08:20.000","2011-01-01T01:39:28.000","94","DISCHARGING FIREARMS","70115"
"S Broad St & Louisiana Avenue Pk","UNF","UNFOUNDED","POINT (-90.10130123341163 29.950454041636956)",,,,,"3670997.00000000","529572.00000000","A0005411","2","1B","2011-01-01T00:19:18.000","2011-01-01T00:28:35.000","2011-01-01T00:08:21.000","2011-01-01T00:15:57.000","94","DISCHARGING FIREARMS","70125"
"Amelia St & Delachaise St","UNF","UNFOUNDED","POINT (-90.0985477657266 29.940487009851182)",,,,,"3671908.00000000","525957.00000000","A0005111","2","1B","2011-01-01T00:34:30.000","2011-01-01T00:38:40.000","2011-01-01T00:08:27.000","2011-01-01T00:30:43.000","94","DISCHARGING FIREARMS","70125"
"009XX Julia St","UNF","UNFOUNDED","POINT (-90.07433596542653 29.946475293621724)",,,,,"3679552.00000000","528218.00000000","A0006011","8","2H","2011-01-01T00:16:18.000","2011-01-01T00:25:06.000","2011-01-01T00:08:34.000","2011-01-01T00:12:38.000","21","COMPLAINT OTHER","70113"
"Harmony St & St Thomas St","UNF","UNFOUNDED","POINT (-90.08388187095419 29.919484286919687)",,,,,"3676636.00000000","518370.00000000","A0005311","6","2B","2011-01-01T00:19:10.000","2011-01-01T00:21:48.000","2011-01-01T00:08:57.000","2011-01-01T00:14:29.000","94","DISCHARGING FIREARMS","70115"
"045XX Longfellow Dr","NAT","NECESSARY ACTION TAKEN","POINT (-89.97803037239888 30.017425787812034)",,,,,"3709745.00000000","554366.00000000","A0005211","7","1H",,"2011-01-01T00:25:03.000","2011-01-01T00:09:09.000","2011-01-01T00:09:11.000","21","COMPLAINT OTHER","70127"
"Benson Ct & Morrison Rd","UNF","UNFOUNDED","POINT (-89.99311302659443 30.03694558513799)",,,,,"3704889.00000000","561408.00000000","A0005611","7","1B",,"2011-01-01T00:39:13.000","2011-01-01T00:09:32.000","2011-01-01T00:39:11.000","94","DISCHARGING FIREARMS","70127"
"002XX Blk Canal","NAT","NECESSARY ACTION TAKEN","POINT (-0.0000022929847665 0.0000009235500543)",,,,,"37369000","3513814","A0512311","0","1C","2011-01-04T01:28:08.000","2011-01-04T02:29:31.000","2011-01-04T01:28:08.000","2011-01-04T01:28:08.000","103","DISTURBANCE (OTHER)",
"043XX Marais St","UNF","UNFOUNDED","POINT (-90.03226534821997 29.965852291410833)",,,,,"3692795.00000000","535413.00000000","A0005511","5","2B",,"2011-01-01T00:46:19.000","2011-01-01T00:09:42.000","2011-01-01T00:17:04.000","94","DISCHARGING FIREARMS","70117"
"087XX Dinkins St","NAT","NECESSARY ACTION TAKEN","POINT (-89.99502641997587 30.041799510528797)",,,,,"3704263.00000000","563166.00000000","A0006311","7","2B","2011-01-01T00:30:17.000","2011-01-01T00:37:41.000","2011-01-01T00:10:26.000","2011-01-01T00:22:18.000","24","AMBULANCE REQUEST","70127"
"042XX Orleans Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.09785161848988 29.98064952570157)",,,,,"3671971.00000000","540564.00000000","A0005811","3","1B","2011-01-01T00:45:14.000","2011-01-01T00:49:14.000","2011-01-01T00:10:33.000","2011-01-01T00:10:36.000","52F","FIRE","70119"
"024XX N Galvez St","RTF","REPORT TO FOLLOW","POINT (-90.05119652812148 29.97912531674488)",,,,,"3686747.00000000","540172.00000000","A0006111","5","2B","2011-01-01T00:46:09.000","2011-01-01T00:58:19.000","2011-01-01T00:10:44.000","2011-01-01T00:23:14.000","24","AMBULANCE REQUEST","70117"
"Esplanade & Frenchmen St","NAT","NECESSARY ACTION TAKEN","POINT (-0.0000022929847665 0.0000009235500543)",,,,,"37369000","3513814","A0005911","0","1C","2011-01-01T00:10:53.000","2011-01-01T00:42:46.000","2011-01-01T00:10:53.000","2011-01-01T00:10:53.000","103","DISTURBANCE (OTHER)",
"062XX Vermillion Blvd","NAT","NECESSARY ACTION TAKEN","POINT (-90.06251561460525 30.022671019698006)",,,,,"3682988.00000000","555967.00000000","A0006211","3","2B",,"2011-01-01T00:22:59.000","2011-01-01T00:11:01.000","2011-01-01T00:14:29.000","94","DISCHARGING FIREARMS","70122"
"023XX Magazine St","NAT","NECESSARY ACTION TAKEN","POINT (-90.07862825348181 29.9283195448308)",,,,,"3678265.00000000","521601.00000000","A0006711","6","1A","2011-01-01T00:38:57.000","2011-01-01T00:43:01.000","2011-01-01T00:11:12.000","2011-01-01T00:35:26.000","103","DISTURBANCE (OTHER)","70130"
"023XX Joliet St","UNF","UNFOUNDED","POINT (-90.12489463499449 29.95792454409748)",,,,,"3663497.00000000","532209.00000000","A0006511","2","1A","2011-01-01T00:49:26.000","2011-01-01T00:49:49.000","2011-01-01T00:11:38.000","2011-01-01T00:29:20.000","94F","FIREWORKS","70118"
"024XX Jonquil St","NAT","NECESSARY ACTION TAKEN","POINT (-90.05400669638378 29.998179820901715)",,,,,"3685780.00000000","547091.00000000","A0006611","3","2H",,"2011-01-01T00:21:52.000","2011-01-01T00:12:59.000","2011-01-01T00:21:46.000","94F","FIREWORKS","70122"
"001XX Decatur St","NAT","NECESSARY ACTION TAKEN","POINT (-90.066862806628 29.952351819645497)",,,,,"3681895.00000000","530381.00000000","A0007211","8","2C","2011-01-01T00:19:01.000","2011-01-01T00:21:14.000","2011-01-01T00:13:04.000","2011-01-01T00:15:12.000","62A","BURGLAR ALARM, SILEN","70130"
"Dauphine St & Franklin Ave","UNF","UNFOUNDED","POINT (-90.05111207771924 29.96578977246434)",,,,,"3686828.00000000","535323.00000000","A0006811","5","2B","2011-01-01T00:24:41.000","2011-01-01T00:29:48.000","2011-01-01T00:13:14.000","2011-01-01T00:17:36.000","103F","FIGHT","70117"
"Franklin Ave & Verbena St","UNF","UNFOUNDED","POINT (-90.05015001519105 30.000072772850064)",,,,,"3686993.00000000","547793.00000000","A0007011","3","2B","2011-01-01T00:19:15.000","2011-01-01T00:24:09.000","2011-01-01T00:13:22.000","2011-01-01T00:15:38.000","94","DISCHARGING FIREARMS","70122"
"070XX Lawrence Rd","NAT","NECESSARY ACTION TAKEN","POINT (-89.99797507051427 30.029319772219434)",,,,,"3703383.00000000","558617.00000000","A0007511","7","1B",,"2011-01-01T00:51:39.000","2011-01-01T00:13:23.000","2011-01-01T00:50:54.000","94","DISCHARGING FIREARMS","70126"
"004XX Le Boeuf St","NAT","NECESSARY ACTION TAKEN","POINT (-90.04164540365743 29.951724433908513)",,,,,"3689883.00000000","530242.00000000","A0007111","4","2H","2011-01-01T00:24:23.000","2011-01-01T00:31:55.000","2011-01-01T00:13:32.000","2011-01-01T00:18:04.000","94F","FIREWORKS","70114"
"006XX Bourbon St","NAT","NECESSARY ACTION TAKEN","POINT (-90.06629127670833 29.95781881107571)",,,,,"3682054.00000000","532371.00000000","A0006911","8","1H","2011-01-01T00:14:24.000","2011-01-01T00:59:11.000","2011-01-01T00:14:12.000","2011-01-01T00:14:21.000","21","COMPLAINT OTHER","70112"
"Desire Pkwy & Treasure St","NAT","NECESSARY ACTION TAKEN","POINT (-90.03198402467139 29.988146489541208)",,,,,"3692792.00000000","543521.00000000","A0007311","5","1H","2011-01-01T00:26:38.000","2011-01-01T00:31:11.000","2011-01-01T00:14:24.000","2011-01-01T00:20:04.000","94F","FIREWORKS","70126"
"Chef Menteur Hwy & I-10 W","UNF","UNFOUNDED","POINT (-90.01321485746898 30.010669036117413)",,,,,"3698639.00000000","551779.00000000","A0007411","7","2H","2011-01-01T00:32:10.000","2011-01-01T00:41:23.000","2011-01-01T00:14:45.000","2011-01-01T00:20:00.000","18","TRAFFIC  INCIDENT","70126"
"Dodt Ave & Grant St","UNF","UNFOUNDED","POINT (-89.99135013996388 30.017636469222353)",,,,,"3705529.00000000","554393.00000000","A0007611","7","2B",,"2011-01-01T00:22:38.000","2011-01-01T00:16:15.000","2011-01-01T00:22:35.000","94","DISCHARGING FIREARMS","70126"
"046XX Bonita Dr","NAT","NECESSARY ACTION TAKEN","POINT (-89.99442446597934 30.017428518223166)",,,,,"3704557.00000000","554306.00000000","A0008011","7","1H",,"2011-01-01T00:53:05.000","2011-01-01T00:16:21.000","2011-01-01T00:52:56.000","94F","FIREWORKS","70126"
"017XX Tita St","NAT","NECESSARY ACTION TAKEN","POINT (-90.02369139743925 29.93738439541407)",,,,,"3695628.00000000","525092.00000000","A0007811","4","1H","2011-01-01T00:47:36.000","2011-01-01T02:34:06.000","2011-01-01T00:16:51.000","2011-01-01T00:22:26.000","94F","FIREWORKS","70114"
"038XX Annunciation St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09337912714453 29.9186116559306)",,,,,"3673631.00000000","518020.00000000","A0008211","6","1B",,"2011-01-01T01:36:16.000","2011-01-01T00:17:12.000","2011-01-01T01:35:45.000","94","DISCHARGING FIREARMS","70115"
"Pauger St & N Villere St","UNF","UNFOUNDED","POINT (-90.06063289962573 29.971362929499648)",,,,,"3683791.00000000","537316.00000000","A0008111","5","1B",,"2011-01-01T00:29:46.000","2011-01-01T00:17:13.000","2011-01-01T00:29:40.000","94","DISCHARGING FIREARMS","70116"
"002XX Bourbon St","NAT","NECESSARY ACTION TAKEN","POINT (-90.06907837799429 29.954696873099614)",,,,,"3681184.00000000","531226.00000000","A0007711","8","1H",,"2011-01-01T00:42:55.000","2011-01-01T00:17:23.000","2011-01-01T00:17:25.000","21","COMPLAINT OTHER","70112"
"043XX Downman Rd","NAT","NECESSARY ACTION TAKEN","POINT (-90.02130481050943 30.013722638849586)",,,,,"3696066.00000000","552860.00000000","A0007911","3","1H","2011-01-01T00:25:41.000","2011-01-01T00:45:57.000","2011-01-01T00:17:31.000","2011-01-01T00:17:42.000","94F","FIREWORKS","70126"
"079XX Vanderkloot Ave","UNF","UNFOUNDED","POINT (-89.99118901783855 30.043693696350157)",,,,,"3705469.00000000","563869.00000000","A0008311","7","2B",,"2011-01-01T00:23:19.000","2011-01-01T00:17:49.000","2011-01-01T00:23:16.000","94","DISCHARGING FIREARMS","70127"
"035XX Havana St","UNF","UNFOUNDED","POINT (-90.06970172108036 29.993252199996547)",,,,,"3680832.00000000","545244.00000000","A0008411","3","2B","2011-01-01T00:25:30.000","2011-01-01T00:28:32.000","2011-01-01T00:17:49.000","2011-01-01T00:19:43.000","94","DISCHARGING FIREARMS","70122"
"Berkley Dr & Herald St","NAT","NECESSARY ACTION TAKEN","POINT (-90.00313495708505 29.918296491518596)",,,,,"3702219.00000000","518226.00000000","A0008911","4","1H",,"2011-01-01T00:34:28.000","2011-01-01T00:18:38.000","2011-01-01T00:29:22.000","94F","FIREWORKS","70131"
"Devine Ave & Dinkins St","UNF","UNFOUNDED","POINT (-89.99179713285517 30.043367144453818)",,,,,"3705278.00000000","563748.00000000","A0008811","7","1B",,"2011-01-01T00:39:20.000","2011-01-01T00:19:03.000","2011-01-01T00:39:18.000","94","DISCHARGING FIREARMS","70127"
"071XX Hanover Rd","VOI","VOID","POINT (-89.97710417740038 30.0399854276144)",,,,,"3709941.00000000","562573.00000000","A0008511","7","1C",,"2011-01-01T00:28:20.000","2011-01-01T00:19:07.000",,"62A","BURGLAR ALARM, SILEN","70127"
"Boeing St & Skyview Dr","NAT","NECESSARY ACTION TAKEN","POINT (-90.01903410979142 30.014106989476723)",,,,,"3696783.00000000","553008.00000000","A0008611","7","1H",,"2011-01-01T00:53:14.000","2011-01-01T00:19:24.000","2011-01-01T00:53:13.000","94F","FIREWORKS","70126"
"X Canal St","UNF","UNFOUNDED","POINT (-90.06337438411954 29.949785448055536)",,,,,"3683010.00000000","529460.00000000","A0009011","8","2B","2011-01-01T00:23:22.000","2011-01-01T00:26:28.000","2011-01-01T00:20:01.000","2011-01-01T00:21:19.000","94","DISCHARGING FIREARMS","70130"
"Bourbon St & Orleans Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.06527781975791 29.959038296891084)",,,,,"3682370.00000000","532818.00000000","A0008711","8","1H",,"2011-01-01T03:07:53.000","2011-01-01T00:20:15.000","2011-01-01T00:20:18.000","21","COMPLAINT OTHER","70116"
"Hillary St & Maple St","NAT","NECESSARY ACTION TAKEN","POINT (-90.12872493837354 29.941220518883767)",,,,,"3662348.00000000","526122.00000000","A0009311","2","1A",,"2011-01-01T00:45:58.000","2011-01-01T00:20:15.000","2011-01-01T00:30:09.000","103","DISTURBANCE (OTHER)","70118"
"Bayou Rd & N Prieur St","UNF","UNFOUNDED","POINT (-90.07182013073182 29.970634643402605)",,,,,"3680252.00000000","537012.00000000","A0009511","1","2B","2011-01-01T00:25:13.000","2011-01-01T00:38:09.000","2011-01-01T00:20:32.000","2011-01-01T00:23:14.000","94","DISCHARGING FIREARMS","70116"
