"block_address","disposition","dispositiontext","location","location_address","location_city","location_state","location_zip","mapx","mapy","nopd_item","policedistrict","priority","timearrive","timeclosed","timecreate","timedispatch","type_","typetext","zip"
"022XX Springbrook Ln","VOI","VOID","POINT (0 0)",,,,,"37369000","3513814","B0729715","4","1A",,"2015-02-06T23:50:30.000","2015-02-06T23:18:25.000",,"21J","MISSING JUVENILE","70114"
"095XX Dinkins St","VOI","VOID","POINT (-89.98859875 30.04517318)",,,,,"3706282","564416","B0790815","7","1H",,"2015-02-07T13:18:17.000","2015-02-07T12:48:42.000",,"21","COMPLAINT OTHER","70127"
"I-10 E","DUP","DUPLICATE","POINT (-89.88854843 30.11465463)",,,,,"3737616","590067","B1015315","7","2A",,"2015-02-09T05:35:58.000","2015-02-09T05:34:30.000",,"20","AUTO ACCIDENT","70129"
"035XX Trafalgar St","DUP","DUPLICATE","POINT (-90.08063466 29.98794091)",,,,,"3677392","543274","B1018115","3","2A",,"2015-02-09T06:57:25.000","2015-02-09T06:56:58.000",,"21","COMPLAINT OTHER","70119"
"072XX Cannonbury Dr","VOI","VOID","POINT (-90.01979063 30.02853655)",,,,,"3696483","558252","B1126215","7","1B",,"2015-02-10T08:04:46.000","2015-02-10T05:27:22.000",,"67A","AUTO THEFT","70126"
"008XX Topaz St","DUP","DUPLICATE","POINT (-90.10199677 30.02439266)",,,,,"3670487","556456","B1156915","3","2C",,"2015-02-10T11:45:43.000","2015-02-10T11:44:27.000",,"62A","BURGLAR ALARM, SILENT","70124"
"018XX General Ogden St","DUP","DUPLICATE","POINT (0 0)",,,,,"37369000","3513814","B1211115","2","1A",,"2015-02-11T00:04:05.000","2015-02-10T20:23:27.000",,"21J","MISSING JUVENILE","70118"
"050XX E Lemans St","VOI","VOID","POINT (-89.92257012 30.04035291)",,,,,"3727192","562914","B1223415","7","2C",,"2015-02-10T22:43:57.000","2015-02-10T22:43:03.000",,"62A","BURGLAR ALARM, SILENT","70129"
"005XX Baronne St","VOI","VOID","POINT (-90.07316487 29.94947829)",,,,,"3679910","529314","B1281815","8","2A",,"2015-02-11T14:12:14.000","2015-02-11T14:03:17.000","2015-02-11T14:05:27.000","103","DISTURBANCE (OTHER)","70113"
"003XX Loyola Ave","DUP","DUPLICATE","POINT (-90.07620103 29.9529852)",,,,,"3678935","530578","B1289415","8","2B",,"2015-02-11T15:12:16.000","2015-02-11T15:10:21.000",,"103F","FIGHT","70112"
"036XX Paris Rd","VOI","VOID","POINT (-89.9391685 30.00666152)",,,,,"3722090","550599","B1310315","7","1A",,"2015-02-12T11:55:14.000","2015-02-11T18:26:58.000",,"100","HIT & RUN","70129"
"I10 E (3Y04) & I610 E","DUP","DUPLICATE","POINT (-90.04602219 29.99558558)",,,,,"3688317","546175","B1364515","3","2A",,"2015-02-12T05:22:32.000","2015-02-12T05:21:36.000",,"21","COMPLAINT OTHER","70122"
"US90 E","VOI","VOID","POINT (-90.06163915 29.93873166)",,,,,"3683604","525446","B1541815","8","2A",,"2015-02-13T14:18:41.000","2015-02-13T14:04:29.000",,"20","AUTO ACCIDENT","70130"
"061XX Warwick Ct","VOI","VOID","POINT (-89.98962353 29.9115802)",,,,,"3706527","515833","B1589315","4","2C",,"2015-02-13T21:02:47.000","2015-02-13T20:50:49.000","2015-02-13T20:55:43.000","62A","BURGLAR ALARM, SILENT","70131"
"027XX Canal St","DUP","DUPLICATE","POINT (-90.08782468 29.96549963)",,,,,"3675205","535089","B1734715","1","2D",,"2015-02-14T20:36:02.000","2015-02-14T20:33:29.000",,"911","SILENT 911 CALL","70119"
"002XX Poydras St","VOI","VOID","POINT (-90.06507182 29.94809692)",,,,,"3682479","528840","B1781115","8","1E",,"2015-02-15T01:34:51.000","2015-02-15T01:02:42.000",,"67","THEFT","70130"
"076XX Bullard Ave","DUP","DUPLICATE","POINT (-89.96729911 30.05322498)",,,,,"3712985","567424","B1820515","7","2B",,"2015-02-15T09:14:44.000","2015-02-15T09:13:43.000",,"20I","AUTO ACCIDENT WITH INJURY","70128"
"027XX Tulane Ave","VOI","VOID","POINT (-90.09208509 29.9626844)",,,,,"3673867","534050","B1907615","1","1E",,"2015-02-16T01:02:11.000","2015-02-15T21:50:30.000",,"100","HIT & RUN","70119"
"048XX E Adams Ct","VOI","VOID","POINT (-89.94929048 30.02558726)",,,,,"3718804","557442","B1921715","7","1E",,"2015-02-16T00:12:52.000","2015-02-15T23:21:33.000",,"100","HIT & RUN","70128"
"S Rampart St & Canal St (8I02)","VOI","VOID","POINT (-90.07278031 29.95552779)",,,,,"3680008","531515","B2025115","8","1A",,"2015-02-16T18:10:35.000","2015-02-16T17:22:34.000",,"100","HIT & RUN","70112"
"051XX Basinview Dr","UNF","UNFOUNDED","POINT (0 0)",,,,,"37369000","3513814","B2035715","7","2B",,"2015-02-16T19:18:46.000","2015-02-16T18:51:34.000","2015-02-16T18:54:53.000","24","MEDICAL","70126"
"140XX Wales St","UNF","UNFOUNDED","POINT (-89.95005204 30.06809831)",,,,,"3718376","572898","B2126515","7","1E",,"2015-02-18T19:41:52.000","2015-02-17T14:49:08.000","2015-02-18T19:41:49.000","67","THEFT","70128"
"X Poydras St","VOI","VOID","POINT (-90.06356741 29.94778222)",,,,,"3682956","528730","B2153415","8","1E",,"2015-02-17T18:55:29.000","2015-02-17T18:08:33.000",,"100","HIT & RUN","70130"
"070XX Lawrence Rd","VOI","VOID","POINT (-89.99506029 30.0306218)",,,,,"3704299","559101","B2158315","7","2A",,"2015-02-17T19:12:25.000","2015-02-17T18:49:12.000",,"21","COMPLAINT OTHER","70126"
"032XX Gentilly Blvd","VOI","VOID","POINT (-90.05882849 30.00028358)",,,,,"3684245","547839","B2231015","3","1A",,"2015-02-18T10:11:13.000","2015-02-18T10:05:14.000",,"103","DISTURBANCE (OTHER)","70122"
"028XX Canal St","VOI","VOID","POINT (-90.08937376 29.96741274)",,,,,"3674707","535779","B2253915","1","2D",,"2015-02-18T13:35:36.000","2015-02-18T13:33:10.000",,"911","SILENT 911 CALL","70119"
"023XX Julia St","VOI","VOID","POINT (-90.0898627 29.95581993)",,,,,"3674598","531562","B2342515","1","1H",,"2015-02-19T10:27:06.000","2015-02-19T10:09:50.000",,"21","COMPLAINT OTHER","70119"
"N Rampart St (1E04) & St Louis St","VOI","VOID","POINT (-90.06993714 29.95895047)",,,,,"3680895","532769","B2353815","1","1E",,"2015-02-19T13:01:25.000","2015-02-19T12:14:37.000",,"100","HIT & RUN","70112"
"Hampson St & Pine St","VOI","VOID","POINT (-90.12684634 29.93874547)",,,,,"3662952","525228","B2369615","2","1E",,"2015-02-19T18:02:37.000","2015-02-19T15:05:38.000",,"100","HIT & RUN","70118"
"025XX George Nick Connor Dr","VOI","VOID","POINT (-90.06898895 29.98228634)",,,,,"3681101","541258","B2384515","5","2C",,"2015-02-19T17:32:52.000","2015-02-19T17:14:25.000",,"62A","BURGLAR ALARM, SILENT","70119"
"N Rampart St & Flood St","DUP","DUPLICATE","POINT (-90.01721365 29.96018346)",,,,,"3697584","533406","B2393015","5","1C",,"2015-02-19T18:48:01.000","2015-02-19T18:29:57.000",,"20","AUTO ACCIDENT","70117"
"023XX Magic St","VOI","VOID","POINT (-90.07953207 29.96755422)",,,,,"3677822","535865","B2398115","1","1A",,"2015-02-19T20:15:43.000","2015-02-19T19:26:16.000",,"66","EXTORTION (THREATS)","70119"
"017XX N Tonti","RTF","REPORT TO FOLLOW","POINT (-90.06984257 29.95926043)",,,,,"3680923","532882","B2627415","1","1H",,"2015-02-21T23:52:49.000","2015-02-21T22:06:16.000","2015-02-21T22:07:44.000","21","COMPLAINT OTHER",
"047XX S Carrollton Ave","VOI","VOID","POINT (-90.10161047 29.97404108)",,,,,"3670806","538148","B2649715","3","1H",,"2015-02-22T03:46:34.000","2015-02-22T03:18:16.000",,"21","COMPLAINT OTHER","70119"
"Basin St (1E01) & Conti St","DUP","DUPLICATE","POINT (0 0)",,,,,"37369000","3513814","B3061915","1","2B",,"2015-02-25T17:14:48.000","2015-02-25T17:13:20.000",,"24","MEDICAL","70112"
"067XX Bamberry St","VOI","VOID","POINT (-90.01311812 30.03022726)",,,,,"3698587","558891","B3073115","7","1A",,"2015-02-25T19:08:31.000","2015-02-25T19:05:12.000",,"62A","BURGLAR ALARM, SILENT","70126"
"002XX Audubon Blvd","DUP","DUPLICATE","POINT (-90.11652779 29.94764061)",,,,,"3666186","528497","B3102815","2","2B",,"2015-02-26T01:41:06.000","2015-02-26T01:39:51.000",,"62L","BURGLAR ALARM, LOCAL","70118"
"003XX Decatur St","VOI","VOID","POINT (-90.06544125 29.95357912)",,,,,"3682340","530832","B3136215","8","2C",,"2015-02-26T11:20:07.000","2015-02-26T11:18:24.000",,"62A","BURGLAR ALARM, SILENT","70130"
"053XX Marcia Ave","VOI","VOID","POINT (-90.12016254 29.98908891)",,,,,"3664875","543557","B3281115","3","1A",,"2015-02-27T15:06:42.000","2015-02-27T15:04:45.000",,"62A","BURGLAR ALARM, SILENT","70124"
"010XX Common St","VOI","VOID","POINT (-90.0735909 29.95382772)",,,,,"3679758","530894","B3310815","8","1A",,"2015-02-27T19:55:45.000","2015-02-27T19:36:47.000",,"103","DISTURBANCE (OTHER)","70112"
"008XX Hendee St","DUP","DUPLICATE","POINT (-90.03853856 29.94703279)",,,,,"3690886","528547","B3379315","4","2D",,"2015-02-28T11:11:01.000","2015-02-28T11:08:12.000",,"911","SILENT 911 CALL","70114"
"Tennyson Pl (4E03) & Woodland Dr","NAT","Necessary Action Taken","POINT (-89.99284015 29.91698976)",,,,,"3705485","517788","C0003715","4","1E","2015-03-01T01:14:03.000","2015-03-01T01:21:36.000","2015-03-01T00:46:15.000","2015-03-01T01:04:17.000","21N","NOISE COMPLAINT","70131"
"002XX Carondelet St","VOI","VOID","POINT (-90.07103113 29.95214646)",,,,,"3680575","530291","C0043415","8","1H",,"2015-03-01T13:01:06.000","2015-03-01T11:32:17.000",,"21","COMPLAINT OTHER","70130"
"Downman Rd (7A01) & Hwy 90","DUP","DUPLICATE","POINT (-90.02090137 30.00973449)",,,,,"3696210","551411","C0136415","3","1C",,"2015-03-02T09:42:31.000","2015-03-02T08:18:25.000",,"20","AUTO ACCIDENT","70126"
"003XX Royal St","NAT","Necessary Action Taken","POINT (-90.06687158 29.95542795)",,,,,"3681879","531499","C0147215","8","1H",,"2015-03-02T11:42:22.000","2015-03-02T10:17:36.000",,"21","COMPLAINT OTHER","70130"
"2nd St (6I02) & S Claiborne Ave","VOI","VOID","POINT (-90.0919848 29.94375182)",,,,,"3673973","527166","C0176615","6","1A",,"2015-03-02T16:40:29.000","2015-03-02T14:30:01.000",,"103","DISTURBANCE (OTHER)","70113"
"070XX Boston Dr","VOI","VOID","POINT (-89.98816997 30.03516007)",,,,,"3706460","560777","C0196915","7","2A",,"2015-03-02T17:37:16.000","2015-03-02T17:33:26.000",,"107","SUSPICIOUS PERSON","70127"
"052XX Magazine St","VOI","VOID","POINT (-90.11194448 29.92055693)",,,,,"3667742","518664","C0288915","2","1A",,"2015-03-03T13:02:17.000","2015-03-03T12:14:15.000",,"21","COMPLAINT OTHER","70115"
"041XX Franklin Ave","VOI","VOID","POINT (-90.04997262 30.00108672)",,,,,"3687045","548162","C0328315","3","1A",,"2015-03-03T17:38:51.000","2015-03-03T17:35:55.000",,"62A","BURGLAR ALARM, SILENT","70122"
"N Rampart St & Gov Nicholls St (1F02)","VOI","VOID","POINT (-90.06490503 29.96457962)",,,,,"3682465","534834","C0337815","1","1C",,"2015-03-03T19:02:13.000","2015-03-03T18:46:14.000",,"20","AUTO ACCIDENT","70116"
"047XX Crowder Blvd","DUP","DUPLICATE","POINT (0 0)",,,,,"37369000","3513814","C0339715","7","2A",,"2015-03-03T19:17:08.000","2015-03-03T19:06:24.000",,"103M","MENTAL PATIENT","70127"
"091XX Bunker Hill Rd","VOI","VOID","POINT (-89.98603054 30.03382725)",,,,,"3707143","560300","C0563315","7","2A",,"2015-03-05T13:28:38.000","2015-03-05T13:01:59.000",,"21","COMPLAINT OTHER","70127"
"044XX S Claiborne Ave","VOI","VOID","POINT (-90.10413758 29.94063748)",,,,,"3670137","525992","C0739715","2","2A",,"2015-03-06T21:03:11.000","2015-03-06T21:00:18.000",,"67S","SHOPLIFTING","70125"
"011XX N Broad St","VOI","VOID","POINT (-90.07970591 29.97489987)",,,,,"3677738","538535","C0834515","1","2B",,"2015-03-07T17:00:10.000","2015-03-07T16:53:10.000",,"103F","FIGHT","70119"
"X Canal St","VOI","VOID","POINT (-90.06460433 29.94961014)",,,,,"3682621","529391","C0849515","8","1B",,"2015-03-07T19:02:50.000","2015-03-07T18:56:25.000",,"52F","FIRE","70130"
"006XX S Peters St","DUP","DUPLICATE","POINT (-90.06570836 29.94662744)",,,,,"3682283","528303","C0911015","8","1E",,"2015-03-08T10:32:08.000","2015-03-08T10:27:00.000",,"100","HIT & RUN","70130"
"101XX Seawood St","VOI","VOID","POINT (-89.96764516 30.02591896)",,,,,"3712994","557493","C0942415","7","2C",,"2015-03-08T16:48:12.000","2015-03-08T16:41:14.000",,"62A","BURGLAR ALARM, SILENT","70127"
"056XX Read Blvd","VOI","VOID","POINT (-89.97134629 30.03163427)",,,,,"3711798","559557","C0962215","7","1H",,"2015-03-08T19:58:09.000","2015-03-08T19:34:13.000",,"21","COMPLAINT OTHER","70127"
"048XX Montegut Dr","VOI","VOID","POINT (-90.04125546 30.00919215)",,,,,"3689770","551140","C0972415","3","1A",,"2015-03-08T21:14:18.000","2015-03-08T21:09:46.000",,"62A","BURGLAR ALARM, SILENT","70126"
"050XX Willow St","VOI","VOID","POINT (-90.10876753 29.93895278)",,,,,"3668677","525364","C1082715","2","2C",,"2015-03-09T19:54:13.000","2015-03-09T19:49:38.000",,"62A","BURGLAR ALARM, SILENT","70115"
"012XX Montegut St","VOI","VOID","POINT (-90.0456416 29.96977643)",,,,,"3688543","536792","C1151615","5","1A",,"2015-03-10T12:14:36.000","2015-03-10T12:05:17.000",,"62A","BURGLAR ALARM, SILENT","70117"
"016XX Feliciana St","VOI","VOID","POINT (-90.0436183 29.97350429)",,,,,"3689169","538154","C1154315","5","1E",,"2015-03-10T14:01:39.000","2015-03-10T12:26:42.000",,"67","THEFT","70117"
"125XX Chef Menteur Hwy","DUP","DUPLICATE","POINT (-89.93758666 30.02741907)",,,,,"3722499","558153","C1213315","7","1C",,"2015-03-11T00:15:10.000","2015-03-10T21:55:21.000",,"20","AUTO ACCIDENT","70129"
"007XX Baronne St","VOI","VOID","POINT (-90.07431489 29.94772018)",,,,,"3679553","528670","C1274815","8","1C",,"2015-03-11T18:54:29.000","2015-03-11T12:34:27.000",,"67S","SHOPLIFTING","70113"
"051XX Bundy Rd","VOI","VOID","POINT (-89.97999844 30.02554328)",,,,,"3709087","557310","C1366215","7","1B",,"2015-03-12T09:47:18.000","2015-03-12T07:13:59.000",,"67A","AUTO THEFT","70127"
"077XX Keats St","UNF","UNFOUNDED","POINT (-90.02041102 30.03158735)",,,,,"3696274","559359","C1379015","7","1E",,"2015-03-12T15:54:02.000","2015-03-12T10:00:27.000","2015-03-12T15:24:26.000","100","HIT & RUN","70126"
