"block_address","disposition","dispositiontext","location","location_address","location_city","location_state","location_zip","mapx","mapy","nopd_item","policedistrict","priority","timearrive","timeclosed","timecreate","timedispatch","type","typetext","zip"
"027XX Robert St","NAT","NECESSARY ACTION TAKEN","POINT (-90.10824583995544 29.938839677331114)",,,,,"3668843.00000000","525325.00000000","A0003112","2","1H","2012-01-01T00:12:17.000","2012-01-01T00:15:05.000","2012-01-01T00:06:56.000","2012-01-01T00:08:51.000","21","COMPLAINT OTHER","70115"
"036XX Paris Rd","UNF","UNFOUNDED","POINT (-89.9392134036923 30.006526470836498)",,,,,"3722077.00000000","550550.00000000","A0003212","7","2H","2012-01-01T00:57:01.000","2012-01-01T01:09:32.000","2012-01-01T00:06:58.000","2012-01-01T00:51:47.000","18","TRAFFIC  INCIDENT","70129"
"082XX Earhart Blvd","NAT","NECESSARY ACTION TAKEN","POINT (-90.11612874797464 29.96172947574391)",,,,,"3666258.00000000","533622.00000000","A0003312","2","2C","2012-01-01T00:15:15.000","2012-01-01T00:16:22.000","2012-01-01T00:07:50.000","2012-01-01T00:12:08.000","62A","BURGLAR ALARM, SILEN","70118"
"013XX Feliciana St","UNF","UNFOUNDED","POINT (-90.04452849973121 29.9698229579153)",,,,,"3688896.00000000","536813.00000000","A0003712","5","2B","2012-01-01T00:15:48.000","2012-01-01T00:19:30.000","2012-01-01T00:08:01.000","2012-01-01T00:09:45.000","94F","FIREWORKS","70117"
"029XX D'Abadie St","UNF","UNFOUNDED","POINT (-90.076676927812 29.98274804598295)",,,,,"3678666.00000000","541400.00000000","A0004012","1","1H","2012-01-01T00:46:46.000","2012-01-01T00:47:26.000","2012-01-01T00:08:05.000","2012-01-01T00:43:25.000","94F","FIREWORKS","70119"
"055XX Cherlyn Dr","NAT","NECESSARY ACTION TAKEN","POINT (-90.11911498388514 29.991690537674508)",,,,,"3665197.00000000","544507.00000000","A0003612","3","2C","2012-01-01T00:44:04.000","2012-01-01T00:50:20.000","2012-01-01T00:08:15.000","2012-01-01T00:31:14.000","62A","BURGLAR ALARM, SILEN","70124"
"Canal St & Elk Pl","NAT","NECESSARY ACTION TAKEN","POINT (-90.07336408346396 29.955923227946403)",,,,,"3679822.00000000","531657.00000000","A0003512","8","1H","2012-01-01T00:08:36.000","2012-01-01T00:18:43.000","2012-01-01T00:08:35.000","2012-01-01T00:08:36.000","18","TRAFFIC  INCIDENT","70112"
"020XX St Anthony St","UNF","UNFOUNDED","POINT (-90.06232452831873 29.97741825640731)",,,,,"3683231.00000000","539512.00000000","A0003912","5","1H","2012-01-01T01:04:22.000","2012-01-01T01:04:42.000","2012-01-01T00:08:38.000","2012-01-01T00:48:44.000","94F","FIREWORKS","70116"
"013XX Pine St","NAT","NECESSARY ACTION TAKEN","POINT (-90.12315264792846 29.943498620486523)",,,,,"3664104.00000000","526969.00000000","A0004312","2","2B",,"2012-01-01T00:25:41.000","2012-01-01T00:08:46.000","2012-01-01T00:18:57.000","94F","FIREWORKS","70118"
"Amelia St & Dryades St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09560324902773 29.930185354843942)",,,,,"3672881.00000000","522221.00000000","A0004112","6","1H","2012-01-01T00:26:10.000","2012-01-01T00:38:56.000","2012-01-01T00:08:52.000","2012-01-01T00:22:20.000","94F","FIREWORKS","70115"
"038XX Paris Ave","UNF","UNFOUNDED","POINT (-90.07366903001054 29.996056703256624)",,,,,"3679565.00000000","546250.00000000","A0004212","3","1H","2012-01-01T00:44:32.000","2012-01-01T00:46:38.000","2012-01-01T00:09:13.000","2012-01-01T00:37:59.000","94F","FIREWORKS","70122"
"028XX Upperline St","NAT","NECESSARY ACTION TAKEN","POINT (-90.10719015147413 29.937900345344207)",,,,,"3669181.00000000","524987.00000000","A0003812","2","2B",,"2012-01-01T00:26:02.000","2012-01-01T00:09:20.000","2012-01-01T00:19:53.000","94F","FIREWORKS","70115"
"036XX De Saix Blvd","UNF","UNFOUNDED","POINT (-90.0855860399437 29.98897625850302)",,,,,"3675821.00000000","543634.00000000","A0004512","3","2B","2012-01-01T00:15:13.000","2012-01-01T00:16:26.000","2012-01-01T00:09:29.000","2012-01-01T00:12:42.000","94","DISCHARGING FIREARMS","70119"
"066XX Coveview Ct","GOA","GONE ON ARRIVAL","POINT (-90.01125531315178 30.021668571345693)",,,,,"3699213.00000000","555786.00000000","A0004712","7","2B",,"2012-01-01T00:35:03.000","2012-01-01T00:09:32.000","2012-01-01T00:30:42.000","94","DISCHARGING FIREARMS","70126"
"Clouet St & N Derbigny St","UNF","UNFOUNDED","POINT (-90.04239012711699 29.973734494750317)",,,,,"3689557.00000000","538243.00000000","A0004612","5","2B","2012-01-01T00:15:35.000","2012-01-01T00:22:30.000","2012-01-01T00:09:44.000","2012-01-01T00:11:47.000","94","DISCHARGING FIREARMS","70117"
"Independence St & N Roman St","UNF","UNFOUNDED","POINT (-90.03594131128095 29.973409831148988)",,,,,"3691600.00000000","538148.00000000","A0004812","5","2B","2012-01-01T00:18:04.000","2012-01-01T00:24:14.000","2012-01-01T00:09:44.000","2012-01-01T00:13:56.000","94","DISCHARGING FIREARMS","70117"
"034XX Camphor St","UNF","UNFOUNDED","POINT (-90.12492743517231 29.972947973117858)",,,,,"3663429.00000000","537672.00000000","A0004412","3","1H","2012-01-01T00:46:13.000","2012-01-01T00:51:10.000","2012-01-01T00:09:55.000","2012-01-01T00:37:57.000","94F","FIREWORKS","70118"
"047XX Nottingham Dr","NAT","NECESSARY ACTION TAKEN","POINT (-89.9569609330674 30.0239529767721)",,,,,"3716384.00000000","556819.00000000","A0005012","7","2C","2012-01-01T00:56:11.000","2012-01-01T00:59:33.000","2012-01-01T00:10:27.000","2012-01-01T00:48:29.000","62A","BURGLAR ALARM, SILEN","70127"
"082XX Willow St","NAT","NECESSARY ACTION TAKEN","POINT (-90.1292159352573 29.949463966097756)",,,,,"3662161.00000000","529118.00000000","A0004912","2","2B",,"2012-01-01T00:18:29.000","2012-01-01T00:10:35.000","2012-01-01T00:16:29.000","94","DISCHARGING FIREARMS","70118"
"047XX Raymond Joseph Dr","UNF","UNFOUNDED","POINT (-89.99713198477448 30.01983201399159)",,,,,"3703690.00000000","555170.00000000","A0005112","7","2B","2012-01-01T00:38:14.000","2012-01-01T00:44:27.000","2012-01-01T00:10:45.000","2012-01-01T00:35:20.000","94","DISCHARGING FIREARMS","70126"
"Chartres St & Egania St","UNF","UNFOUNDED","POINT (-90.02131824986502 29.95698208520745)",,,,,"3696298.00000000","532227.00000000","A0005412","5","2B","2012-01-01T00:14:21.000","2012-01-01T00:23:11.000","2012-01-01T00:11:05.000","2012-01-01T00:13:13.000","94F","FIREWORKS","70117"
"070XX Queensway Dr","UNF","UNFOUNDED","POINT (-89.94731528326683 30.05810022684691)",,,,,"3719286.00000000","569273.00000000","A0005312","7","1H","2012-01-01T00:36:32.000","2012-01-01T00:44:39.000","2012-01-01T00:11:33.000","2012-01-01T00:34:41.000","94F","FIREWORKS","70128"
"049XX Haydel St","NAT","NECESSARY ACTION TAKEN","POINT (-90.01215153949441 30.02009357575448)",,,,,"3698936.00000000","555210.00000000","A0005212","7","2C","2012-01-01T00:21:45.000","2012-01-01T00:27:16.000","2012-01-01T00:11:46.000","2012-01-01T00:14:13.000","63","PROWLER","70126"
"054XX Freret St","NAT","NECESSARY ACTION TAKEN","POINT (-90.11144145963185 29.935209156365477)",,,,,"3667845.00000000","523994.00000000","A0005512","2","1C","2012-01-01T00:40:39.000","2012-01-01T00:43:40.000","2012-01-01T00:12:11.000","2012-01-01T00:38:15.000","21","COMPLAINT OTHER","70115"
"I-10 E & Orleans Ave","GOA","GONE ON ARRIVAL","POINT (-90.07315868303975 29.964184990284885)",,,,,"3679854.00000000","534662.00000000","A0005612","1","1H","2012-01-01T00:20:37.000","2012-01-01T00:28:45.000","2012-01-01T00:12:49.000","2012-01-01T00:13:48.000","21","COMPLAINT OTHER","70116"
"020XX Foucher St","GOA","GONE ON ARRIVAL","POINT (-90.09522255802989 29.931350521723065)",,,,,"3672997.00000000","522646.00000000","A0005912","6","2B","2012-01-01T00:33:44.000","2012-01-01T00:46:51.000","2012-01-01T00:12:59.000","2012-01-01T00:26:47.000","94","DISCHARGING FIREARMS","70115"
"044XX Pauger St","NAT","NECESSARY ACTION TAKEN","POINT (-90.06321717920703 30.002822974079557)",,,,,"3682846.00000000","548747.00000000","A0005812","3","1H","2012-01-01T01:41:35.000","2012-01-01T01:46:40.000","2012-01-01T00:14:08.000","2012-01-01T01:37:34.000","94F","FIREWORKS","70122"
"016XX Lauradale Dr","UNF","UNFOUNDED","POINT (-90.03266765728993 29.93765769560608)",,,,,"3692784.00000000","525159.00000000","A0006112","4","2B","2012-01-01T00:24:11.000","2012-01-01T00:33:19.000","2012-01-01T00:14:21.000","2012-01-01T00:17:24.000","94","DISCHARGING FIREARMS","70114"
"N Derbigny St & Tennessee St","UNF","UNFOUNDED","POINT (-90.02111358073725 29.96894257043646)",,,,,"3696313.00000000","536577.00000000","A0006012","5","2B","2012-01-01T00:22:33.000","2012-01-01T00:33:12.000","2012-01-01T00:14:25.000","2012-01-01T00:16:23.000","94","DISCHARGING FIREARMS","70117"
"St Thomas St & Washington Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.0793325829608 29.92201500080852)",,,,,"3678067.00000000","519306.00000000","A0006212","6","2B","2012-01-01T00:24:35.000","2012-01-01T00:25:16.000","2012-01-01T00:14:34.000","2012-01-01T00:24:25.000","94F","FIREWORKS","70130"
"032XX Magazine St","NAT","NECESSARY ACTION TAKEN","POINT (-90.08646880507472 29.92391709028506)",,,,,"3675799.00000000","519973.00000000","A0006512","6","2C","2012-01-01T00:20:59.000","2012-01-01T00:33:04.000","2012-01-01T00:14:46.000","2012-01-01T00:16:57.000","62A","BURGLAR ALARM, SILEN","70115"
"037XX Alfred St","UNF","UNFOUNDED","POINT (-90.07929514972848 29.994848179969093)",,,,,"3677789.00000000","545791.00000000","A0006412","3","2B","2012-01-01T00:23:32.000","2012-01-01T00:32:26.000","2012-01-01T00:15:00.000","2012-01-01T00:17:16.000","24","AMBULANCE REQUEST","70122"
"033XX Preston Pl","UNF","UNFOUNDED","POINT (-89.98302805107926 29.918589371458257)",,,,,"3708587.00000000","518407.00000000","A0006612","4","2B","2012-01-01T00:24:59.000","2012-01-01T00:30:38.000","2012-01-01T00:15:16.000","2012-01-01T00:17:40.000","94","DISCHARGING FIREARMS","70131"
"130XX Calais St","NAT","NECESSARY ACTION TAKEN","POINT (-89.93335093317836 30.033400584024964)",,,,,"3723813.00000000","560345.00000000","A0006312","7","1H","2012-01-01T01:09:19.000","2012-01-01T01:12:35.000","2012-01-01T00:15:53.000","2012-01-01T00:48:54.000","94F","FIREWORKS","70129"
"049XX Major Dr","RTF","REPORT TO FOLLOW","POINT (-0.0000022929847665 0.0000009235500543)",,,,,"37369000","3513814","A0006912","0","2B","2012-01-01T00:32:32.000","2012-01-01T00:59:51.000","2012-01-01T00:16:34.000","2012-01-01T00:19:32.000","29S","SUICIDE","70128"
"004XX Le Boeuf St","NAT","NECESSARY ACTION TAKEN","POINT (-90.04164540365743 29.951724433908513)",,,,,"3689883.00000000","530242.00000000","A0006812","4","1H","2012-01-01T00:28:03.000","2012-01-01T00:35:00.000","2012-01-01T00:16:44.000","2012-01-01T00:19:05.000","94F","FIREWORKS","70114"
"I-10 E & Louisa St","NAT","NECESSARY ACTION TAKEN","POINT (-90.03553728466733 30.00276751288465)",,,,,"3691607.00000000","548825.00000000","A0007112","3","2H","2012-01-01T00:29:08.000","2012-01-01T00:45:11.000","2012-01-01T00:17:20.000","2012-01-01T00:24:57.000","21","COMPLAINT OTHER","70126"
"003XX 16th St","NAT","NECESSARY ACTION TAKEN","POINT (-90.1191203019485 30.002412705773644)",,,,,"3665154.00000000","548406.00000000","A0006712","3","1B","2012-01-01T00:17:59.000","2012-01-01T00:21:00.000","2012-01-01T00:17:52.000","2012-01-01T00:17:56.000","52F","FIRE","70124"
"Independence St & N Villere St","UNF","UNFOUNDED","POINT (-90.03717049801378 29.96923919515469)",,,,,"3691228.00000000","536627.00000000","A0007212","5","2B",,"2012-01-01T00:23:00.000","2012-01-01T00:17:54.000","2012-01-01T00:19:43.000","94F","FIREWORKS","70117"
"018XX 1st St","NAT","NECESSARY ACTION TAKEN","POINT (-90.08408554148673 29.934740484743248)",,,,,"3676511.00000000","523917.00000000","A0007412","6","2B","2012-01-01T00:22:31.000","2012-01-01T00:58:48.000","2012-01-01T00:18:13.000","2012-01-01T00:20:43.000","107","SUSPICIOUS PERSON","70113"
"N Claiborne Ave & Esplanade Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.06848409432985 29.969191878178464)",,,,,"3681314.00000000","536499.00000000","A0007012","1","1H","2012-01-01T00:18:27.000","2012-01-01T01:25:18.000","2012-01-01T00:18:26.000","2012-01-01T00:18:27.000","18","TRAFFIC  INCIDENT","70116"
"024XX A P Tureaud Ave","UNF","UNFOUNDED","POINT (-90.06752664341508 29.981175373234347)",,,,,"3681569.00000000","540860.00000000","A0007312","5","2B","2012-01-01T00:44:38.000","2012-01-01T00:47:21.000","2012-01-01T00:18:39.000","2012-01-01T00:20:59.000","94","DISCHARGING FIREARMS","70119"
"020XX Gen Taylor St","NAT","NECESSARY ACTION TAKEN","POINT (-90.0975617494436 29.93112226641947)",,,,,"3672257.00000000","522555.00000000","A0007712","6","2B","2012-01-01T00:27:40.000","2012-01-01T00:28:27.000","2012-01-01T00:19:55.000","2012-01-01T00:21:39.000","94F","FIREWORKS","70115"
"008XX Florida Blvd","NAT","NECESSARY ACTION TAKEN","POINT (-90.10698166219197 29.99366528650791)",,,,,"3669030.00000000","545266.00000000","A0007612","3","2C","2012-01-01T00:28:53.000","2012-01-01T00:37:22.000","2012-01-01T00:20:11.000","2012-01-01T00:25:26.000","62A","BURGLAR ALARM, SILEN","70124"
"070XX Crowder Blvd","UNF","UNFOUNDED","POINT (-89.99453714164338 30.0311603545535)",,,,,"3704463.00000000","559299.00000000","A0007512","7","2B",,"2012-01-01T00:28:34.000","2012-01-01T00:20:26.000","2012-01-01T00:20:33.000","94","DISCHARGING FIREARMS","70126"
"Beechwood Ct & Crowder Blvd","UNF","UNFOUNDED","POINT (-89.99623442687135 30.034450080015787)",,,,,"3703912.00000000","560489.00000000","A0008412","7","2B","2012-01-01T00:36:10.000","2012-01-01T00:40:03.000","2012-01-01T00:20:28.000","2012-01-01T00:26:38.000","103D","DOMESTIC DISTURBANCE","70127"
"005XX Bourbon St","NAT","NECESSARY ACTION TAKEN","POINT (-90.0669833929221 29.95703347475466)",,,,,"3681838.00000000","532083.00000000","A0007812","8","1H","2012-01-01T00:24:50.000","2012-01-01T00:49:29.000","2012-01-01T00:21:47.000","2012-01-01T00:21:51.000","21","COMPLAINT OTHER","70112"
"Flood St & Marais St","UNF","UNFOUNDED","POINT (-90.01651682772211 29.962332390735753)",,,,,"3697796.00000000","534190.00000000","A0007912","5","2B","2012-01-01T00:25:43.000","2012-01-01T00:50:37.000","2012-01-01T00:21:50.000","2012-01-01T00:21:54.000","34S","AGGRAVATED BATTERY B","70117"
"076XX Brevard Ave","NAT","NECESSARY ACTION TAKEN","POINT (-89.98818309029197 30.042051540271327)",,,,,"3706427.00000000","563283.00000000","A0008012","7","2B",,"2012-01-01T00:22:16.000","2012-01-01T00:22:00.000","2012-01-01T00:22:09.000","94F","FIREWORKS","70127"
"St Bernard Ave & N Tonti St","RTF","REPORT TO FOLLOW","POINT (-90.06959870234981 29.979440793120016)",,,,,"3680920.00000000","540222.00000000","A0008112","1","1G","2012-01-01T00:23:44.000","2012-01-01T01:13:39.000","2012-01-01T00:22:33.000","2012-01-01T00:22:43.000","966","DRUG VIOLATIONS","70119"
"003XX Bourbon St","RTF","REPORT TO FOLLOW","POINT (-90.06837696099961 29.95547113098435)",,,,,"3681403.00000000","531510.00000000","A0008212","8","1F","2012-01-01T00:22:56.000","2012-01-01T01:33:06.000","2012-01-01T00:22:44.000","2012-01-01T00:22:48.000","21U","UNDER AGE DRINKING V","70112"
"025XX Bayou Rd","NAT","NECESSARY ACTION TAKEN","POINT (-90.07622526634012 29.97622626929724)",,,,,"3678835.00000000","539030.00000000","A0008512","1","2C","2012-01-01T00:28:59.000","2012-01-01T00:34:15.000","2012-01-01T00:23:29.000","2012-01-01T00:24:29.000","62A","BURGLAR ALARM, SILEN","70119"
"General Taylor St & Saint Charle","RTF","REPORT TO FOLLOW","POINT (-0.0000022929847665 0.0000009235500543)",,,,,"37369000","3513814","A0064612","0","2B","2012-01-01T07:38:56.000","2012-01-01T10:27:05.000","2012-01-01T07:29:51.000","2012-01-01T07:33:13.000","43B","SEXUAL BATTERY","70115"
"014XX Alvar St","RTF","REPORT TO FOLLOW","POINT (-90.03551677167968 29.96889564722802)",,,,,"3691753.00000000","536508.00000000","A0008312","5","1F","2012-01-01T00:25:39.000","2012-01-01T01:19:03.000","2012-01-01T00:23:35.000","2012-01-01T00:23:56.000","66","EXTORTION (THREATS)","70117"
"006XX Bourbon St","NAT","NECESSARY ACTION TAKEN","POINT (-90.06629127670833 29.95781881107571)",,,,,"3682054.00000000","532371.00000000","A0008612","8","1H","2012-01-01T00:24:10.000","2012-01-01T00:24:26.000","2012-01-01T00:23:59.000","2012-01-01T00:24:03.000","21","COMPLAINT OTHER","70112"
"X Canal St","UNF","UNFOUNDED","POINT (-90.0633965213028 29.949782911717563)",,,,,"3683003.00000000","529459.00000000","A0008912","8","1E","2012-01-01T01:11:40.000","2012-01-01T01:14:51.000","2012-01-01T00:24:05.000","2012-01-01T00:59:26.000","67","THEFT","70130"
"045XX Francis Dr","NAT","NECESSARY ACTION TAKEN","POINT (-90.01408444649981 30.013963987946973)",,,,,"3698350.00000000","552974.00000000","A0009112","7","1H",,"2012-01-01T00:48:45.000","2012-01-01T00:25:24.000","2012-01-01T00:28:20.000","94F","FIREWORKS","70126"
