"block_address","disposition","dispositiontext","location","location_address","location_city","location_state","location_zip","mapx","mapy","nopd_item","policedistrict","priority","timearrive","timeclosed","timecreate","timedispatch","type_","typetext","zip"
"Magazine St & Poydras St","UNF","UNFOUNDED","POINT (-90.06815354447562 29.94893223919815)",,,,,"3681500.00000000","529133.00000000","A0001113","8","1H",,"2013-01-01T02:55:19.000","2013-01-01T00:00:45.000","2013-01-01T02:46:55.000","21","COMPLAINT OTHER","70130"
"Elysian Fields Ave & Saint Claud","NAT","NECESSARY ACTION TAKEN","POINT (-90.05697049864575 29.968530717793847)",,,,,"3684962.00000000","536299.00000000","A0001213","8","2B",,"2013-01-01T00:15:37.000","2013-01-01T00:02:11.000","2013-01-01T00:02:14.000","94","DISCHARGING FIREARM","70116"
"001XX Canal St","DUP","DUPLICATE","POINT (-90.06433515988114 29.949723217770586)",,,,,"3682706.00000000","529434.00000000","A0001313","8","2B",,"2013-01-01T00:24:21.000","2013-01-01T00:02:56.000","2013-01-01T00:03:09.000","94","DISCHARGING FIREARM","70130"
"039XX Annunciation St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09428416696196 29.918435934184025)",,,,,"3673345.00000000","517953.00000000","A0001413","6","2B",,"2013-01-01T00:35:16.000","2013-01-01T00:02:37.000","2013-01-01T00:03:20.000","94","DISCHARGING FIREARM","70115"
"012XX Mandeville St","NAT","NECESSARY ACTION TAKEN","POINT (-90.05454261744097 29.9699343954475)",,,,,"3685725.00000000","536818.00000000","A0001513","5","2D","2013-01-01T00:38:10.000","2013-01-01T00:51:13.000","2013-01-01T00:03:20.000","2013-01-01T00:34:57.000","911","SILENT 911 CALL","70117"
"039XX I-10 E","UNF","UNFOUNDED","POINT (-89.90602185631738 30.094987611154572)",,,,,"3732181.00000000","582847.00000000","A0001613","7","2D",,"2013-01-01T00:14:47.000","2013-01-01T00:02:12.000","2013-01-01T00:14:26.000","99","RECKLESS DRIVING","70129"
"Saint Ann St & N White St","NAT","NECESSARY ACTION TAKEN","POINT (-90.08374544532784 29.972241656212002)",,,,,"3676470.00000000","537555.00000000","A0001713","1","1B",,"2013-01-01T00:29:25.000","2013-01-01T00:01:46.000","2013-01-01T00:29:23.000","94","DISCHARGING FIREARM","70119"
"Iberville St & Marais St","NAT","NECESSARY ACTION TAKEN","POINT (-90.0744957109957 29.95834305333717)",,,,,"3679454.00000000","532533.00000000","A0001813","1","1B",,"2013-01-01T00:29:09.000","2013-01-01T00:03:30.000","2013-01-01T00:29:07.000","94","DISCHARGING FIREARM","70112"
"024XX Columbus St","NAT","NECESSARY ACTION TAKEN","POINT (-90.07442253873752 29.976156788366414)",,,,,"3679406.00000000","539011.00000000","A0001913","1","1B",,"2013-01-01T00:28:38.000","2013-01-01T00:03:07.000","2013-01-01T00:28:36.000","94","DISCHARGING FIREARM","70119"
"033XX Garden Oaks Dr","NAT","NECESSARY ACTION TAKEN","POINT (-90.02246612031831 29.922494595540936)",,,,,"3696078.00000000","519682.00000000","A0002013","4","2B",,"2013-01-01T00:06:18.000","2013-01-01T00:02:56.000","2013-01-01T00:06:12.000","94","DISCHARGING FIREARM","70114"
"012XX Mandeville St","UNF","UNFOUNDED","POINT (-90.05452325997757 29.969719707798273)",,,,,"3685732.00000000","536740.00000000","A0002113","5","2B","2013-01-01T00:11:35.000","2013-01-01T00:14:14.000","2013-01-01T00:03:51.000","2013-01-01T00:07:10.000","94","DISCHARGING FIREARM","70117"
"Hickory St & Monroe St","UNF","UNFOUNDED","POINT (-90.13027490818283 29.95565836065648)",,,,,"3661802.00000000","531367.00000000","A0002213","2","2B","2013-01-01T00:08:56.000","2013-01-01T00:13:43.000","2013-01-01T00:04:25.000","2013-01-01T00:04:57.000","94","DISCHARGING FIREARM","70118"
"023XX Alvar St","NAT","NECESSARY ACTION TAKEN","POINT (-90.03264677710898 29.978506058425594)",,,,,"3692622.00000000","540013.00000000","A0002313","5","1H","2013-01-01T01:32:34.000","2013-01-01T02:03:56.000","2013-01-01T00:03:10.000","2013-01-01T01:24:04.000","21","COMPLAINT OTHER","70117"
"Dauphine St & Saint Roch Ave","RTF","REPORT TO FOLLOW","POINT (-90.05188819386355 29.96585508211896)",,,,,"3686582.00000000","535344.00000000","A0002413","8","1H","2013-01-01T00:30:02.000","2013-01-01T02:14:18.000","2013-01-01T00:05:13.000","2013-01-01T00:05:16.000","21","COMPLAINT OTHER","70117"
"012XX S Tonti St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09377445774115 29.95185459491069)",,,,,"3673375.00000000","530107.00000000","A0002513","6","2C",,"2013-01-01T00:22:12.000","2013-01-01T00:04:37.000","2013-01-01T00:06:59.000","62A","BURGLAR ALARM, SILEN","70125"
"012XX Pauline St","UNF","UNFOUNDED","POINT (-90.03702549393954 29.967029517212033)",,,,,"3691283.00000000","535824.00000000","A0002613","5","2B","2013-01-01T00:15:38.000","2013-01-01T00:18:06.000","2013-01-01T00:05:28.000","2013-01-01T00:14:25.000","94","DISCHARGING FIREARM","70117"
"N Claiborne Ave & Saint Louis St","NAT","NECESSARY ACTION TAKEN","POINT (-90.07511369313167 29.962429952572798)",,,,,"3679242.00000000","534017.00000000","A0002713","1","1H",,"2013-01-01T00:21:49.000","2013-01-01T00:05:35.000","2013-01-01T00:05:35.000","21","COMPLAINT OTHER","70112"
"Bullard Ave & Morrison Rd","UNF","UNFOUNDED","POINT (-89.96535577237759 30.051039864620087)",,,,,"3713610.00000000","566637.00000000","A0002813","7","2B","2013-01-01T00:08:30.000","2013-01-01T00:11:41.000","2013-01-01T00:04:33.000","2013-01-01T00:06:31.000","94","DISCHARGING FIREARM","70128"
"N Carrollton Ave & Orleans Ave","UNF","UNFOUNDED","POINT (-90.09552630827534 29.979156438929195)",,,,,"3672713.00000000","540029.00000000","A0002913","1","2B","2013-01-01T00:08:22.000","2013-01-01T00:13:54.000","2013-01-01T00:04:52.000","2013-01-01T00:06:53.000","52F","FIRE","70119"
"058XX Music St","NAT","NECESSARY ACTION TAKEN","POINT (-90.05501690899013 30.018454225350514)",,,,,"3685378.00000000","554460.00000000","A0003013","3","2C","2013-01-01T00:48:17.000","2013-01-01T00:50:30.000","2013-01-01T00:06:10.000","2013-01-01T00:36:40.000","62A","BURGLAR ALARM, SILEN","70122"
"062XX Chef Menteur Hwy","NAT","NECESSARY ACTION TAKEN","POINT (-90.01609783590845 30.01057416221916)",,,,,"3697727.00000000","551734.00000000","A0003113","7","2B","2013-01-01T00:20:13.000","2013-01-01T00:21:25.000","2013-01-01T00:05:41.000","2013-01-01T00:16:45.000","94","DISCHARGING FIREARM","70126"
"Decatur St & Esplanade Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.05806767218385 29.962012865940665)",,,,,"3684641.00000000","533925.00000000","A0003213","8","1H","2013-01-01T00:30:04.000","2013-01-01T01:27:49.000","2013-01-01T00:07:05.000","2013-01-01T00:07:08.000","21","COMPLAINT OTHER","70116"
"030XX General Ogden St","NAT","NECESSARY ACTION TAKEN","POINT (-90.12257639877421 29.965748926182204)",,,,,"3664201.00000000","535062.00000000","A0003313","2","2B","2013-01-01T00:17:52.000","2013-01-01T00:20:46.000","2013-01-01T00:06:49.000","2013-01-01T00:09:07.000","94","DISCHARGING FIREARM","70118"
"Constance St & Philip St","NAT","NECESSARY ACTION TAKEN","POINT (-90.07702960006928 29.928158537066953)",,,,,"3678772.00000000","521548.00000000","A0003413","6","1H","2013-01-01T00:26:08.000","2013-01-01T00:27:49.000","2013-01-01T00:06:47.000","2013-01-01T00:26:02.000","94F","FIREWORKS","70130"
"002XX Bourbon St","RTF","REPORT TO FOLLOW","POINT (-90.06907837799429 29.954696873099614)",,,,,"3681184.00000000","531226.00000000","A0003513","8","1G",,"2013-01-01T00:08:43.000","2013-01-01T00:07:45.000","2013-01-01T00:07:47.000","966","DRUG VIOLATIONS","70112"
"016XX Elizardi Blvd","NAT","NECESSARY ACTION TAKEN","POINT (-90.02654196499954 29.93815524473931)",,,,,"3694722.00000000","525362.00000000","A0003613","4","2B","2013-01-01T00:13:54.000","2013-01-01T00:33:39.000","2013-01-01T00:07:10.000","2013-01-01T00:08:50.000","94F","FIREWORKS","70114"
"013XX Frenchmen St","UNF","UNFOUNDED","POINT (-90.05836344259286 29.970502215320835)",,,,,"3684513.00000000","537011.00000000","A0003713","5","2B","2013-01-01T00:21:17.000","2013-01-01T00:24:30.000","2013-01-01T00:07:50.000","2013-01-01T00:18:17.000","94","DISCHARGING FIREARM","70116"
"045XX Laine Ave","NAT","NECESSARY ACTION TAKEN","POINT (-89.99043354202193 30.01647762706053)",,,,,"3705824.00000000","553975.00000000","A0003813","7","2B","2013-01-01T00:08:13.000","2013-01-01T00:17:14.000","2013-01-01T00:08:09.000","2013-01-01T00:08:10.000","94","DISCHARGING FIREARM","70126"
"Clouet St & N Derbigny St","GOA","GONE ON ARRIVAL","POINT (-90.04239012711699 29.973734494750317)",,,,,"3689557.00000000","538243.00000000","A0003913","5","2B","2013-01-01T00:30:23.000","2013-01-01T00:46:07.000","2013-01-01T00:07:06.000","2013-01-01T00:25:00.000","107","SUSPICIOUS PERSON","70117"
"006XX Bourbon St","RTF","REPORT TO FOLLOW","POINT (-90.06629127670833 29.95781881107571)",,,,,"3682054.00000000","532371.00000000","A0004013","8","1H",,"2013-01-01T00:11:44.000","2013-01-01T00:08:07.000","2013-01-01T00:08:16.000","21","COMPLAINT OTHER","70112"
"004XX W Kenilworth St","NAT","NECESSARY ACTION TAKEN","POINT (-90.12154920260755 29.99675365831756)",,,,,"3664407.00000000","546340.00000000","A0004113","3","2C","2013-01-01T00:48:24.000","2013-01-01T00:51:47.000","2013-01-01T00:07:34.000","2013-01-01T00:40:39.000","62A","BURGLAR ALARM, SILEN","70124"
"078XX Symmes Ave","NAT","NECESSARY ACTION TAKEN","POINT (-89.98460650094457 30.04731967636733)",,,,,"3707536.00000000","565212.00000000","A0004313","7","1H",,"2013-01-01T02:54:20.000","2013-01-01T00:06:04.000","2013-01-01T02:45:47.000","21","COMPLAINT OTHER","70127"
"028XX Audubon St","NAT","NECESSARY ACTION TAKEN","POINT (-90.11230386208628 29.954786082239693)",,,,,"3667496.00000000","531110.00000000","A0004413","2","1H","2013-01-01T00:15:01.000","2013-01-01T00:20:24.000","2013-01-01T00:09:03.000","2013-01-01T00:10:22.000","94F","FIREWORKS","70125"
"2nd St & S Claiborne Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.09197107160317 29.943749864833347)",,,,,"3673978.00000000","527166.00000000","A0004513","6","2B","2013-01-01T00:22:22.000","2013-01-01T00:28:23.000","2013-01-01T00:08:30.000","2013-01-01T00:22:18.000","94","DISCHARGING FIREARM","70113"
"Vincent Rd & Wales St","UNF","UNFOUNDED","POINT (-89.95181175768532 30.06646066213156)",,,,,"3717827.00000000","572296.00000000","A0004613","7","2B","2013-01-01T00:49:41.000","2013-01-01T00:59:16.000","2013-01-01T00:08:31.000","2013-01-01T00:23:53.000","94","DISCHARGING FIREARM","70128"
"002XX Bourbon St","RTF","REPORT TO FOLLOW","POINT (-90.06907837799429 29.954696873099614)",,,,,"3681184.00000000","531226.00000000","A0004713","8","1G","2013-01-01T00:29:59.000","2013-01-01T00:55:26.000","2013-01-01T00:09:37.000","2013-01-01T00:09:40.000","966","DRUG VIOLATIONS","70112"
"018XX Saint Thomas St","NAT","NECESSARY ACTION TAKEN","POINT (-90.06907159317188 29.928563547599623)",,,,,"3681291.00000000","521723.00000000","A0004813","6","1H",,"2013-01-01T00:12:34.000","2013-01-01T00:09:53.000","2013-01-01T00:12:15.000","94F","FIREWORKS","70130"
"012XX Gallier St","UNF","UNFOUNDED","POINT (-90.03924098211208 29.967648071719427)",,,,,"3690579.00000000","536041.00000000","A0004913","5","2B","2013-01-01T00:24:23.000","2013-01-01T00:26:50.000","2013-01-01T00:09:38.000","2013-01-01T00:24:19.000","94","DISCHARGING FIREARM","70117"
"002XX W Harrison Ave","VOI","VOID","POINT (-90.11723146931276 30.005736477457617)",,,,,"3665739.00000000","549621.00000000","A0005113","3","2C",,"2013-01-01T00:14:05.000","2013-01-01T00:10:30.000",,"62A","BURGLAR ALARM, SILEN","70124"
"Poydras St & S Rampart St","UNF","UNFOUNDED","POINT (-90.07500251274048 29.950460915651675)",,,,,"3679325.00000000","529665.00000000","A0005213","8","2C","2013-01-01T00:25:15.000","2013-01-01T00:45:06.000","2013-01-01T00:10:43.000","2013-01-01T00:16:08.000","106","OBSCENITY, EXPOSING","70113"
"057XX Franklin Ave","UNF","UNFOUNDED","POINT (-90.05131313742206 30.017488723423465)",,,,,"3686554.00000000","554122.00000000","A0005313","3","2B","2013-01-01T00:31:21.000","2013-01-01T00:55:59.000","2013-01-01T00:10:59.000","2013-01-01T00:23:02.000","94","DISCHARGING FIREARM","70122"
"053XX Franklin Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.05112094489016 30.01228389611072)",,,,,"3686636.00000000","552230.00000000","A0005413","3","2B","2013-01-01T00:30:41.000","2013-01-01T00:34:08.000","2013-01-01T00:11:16.000","2013-01-01T00:28:37.000","94","DISCHARGING FIREARM","70122"
"Elysian Fields Ave & Sere St","UNF","UNFOUNDED","POINT (-90.05905637352278 29.99488756938491)",,,,,"3684195.00000000","545876.00000000","A0005513","3","2B","2013-01-01T00:23:25.000","2013-01-01T00:25:19.000","2013-01-01T00:10:36.000","2013-01-01T00:20:05.000","94","DISCHARGING FIREARM","70122"
"050XX Saint Ferdinand Dr","NAT","NECESSARY ACTION TAKEN","POINT (-90.04240521927369 30.010158241836255)",,,,,"3689403.00000000","551488.00000000","A0005613","3","2C","2013-01-01T00:43:43.000","2013-01-01T00:46:31.000","2013-01-01T00:11:36.000","2013-01-01T00:35:30.000","62A","BURGLAR ALARM, SILEN","70126"
"Orleans Ave & N Solomon St","NAT","NECESSARY ACTION TAKEN","POINT (-90.09778807500575 29.98067917898091)",,,,,"3671991.00000000","540575.00000000","A0005713","3","1H",,"2013-01-01T00:15:48.000","2013-01-01T00:12:09.000","2013-01-01T00:12:09.000","21","COMPLAINT OTHER","70119"
"025XX Dumaine St","NAT","NECESSARY ACTION TAKEN","POINT (-90.07912578365087 29.970379970884995)",,,,,"3677940.00000000","536894.00000000","A0005813","1","1B",,"2013-01-01T00:29:17.000","2013-01-01T00:11:37.000","2013-01-01T00:29:13.000","94","DISCHARGING FIREARM","70119"
"Bullard Ave & Morrison Rd","UNF","UNFOUNDED","POINT (-89.96535577237759 30.051039864620087)",,,,,"3713610.00000000","566637.00000000","A0005913","7","1B","2013-01-01T01:03:35.000","2013-01-01T01:18:22.000","2013-01-01T00:12:44.000","2013-01-01T01:03:33.000","52F","FIRE","70128"
"004XX Bourbon St","RTF","REPORT TO FOLLOW","POINT (-90.06766883413155 29.95627557056932)",,,,,"3681624.00000000","531805.00000000","A0006013","8","1H",,"2013-01-01T00:13:10.000","2013-01-01T00:12:55.000","2013-01-01T00:12:58.000","21","COMPLAINT OTHER","70112"
"XX Saint Claude Ct","NAT","NECESSARY ACTION TAKEN","POINT (-90.01737273388022 29.961133699425446)",,,,,"3697530.00000000","533751.00000000","A0006113","5","1H","2013-01-01T00:30:27.000","2013-01-01T00:32:15.000","2013-01-01T00:12:58.000","2013-01-01T00:25:19.000","94F","FIREWORKS","70117"
"045XX Paris Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.07430717812106 30.003817742806227)",,,,,"3679332.00000000","549070.00000000","A0006213","3","2B",,"2013-01-01T00:34:58.000","2013-01-01T00:12:24.000","2013-01-01T00:22:02.000","94","DISCHARGING FIREARM","70122"
"056XX Read Blvd","NAT","NECESSARY ACTION TAKEN","POINT (-89.97164027668256 30.0306560813807)",,,,,"3711710.00000000","559201.00000000","A0006313","7","1H",,"2013-01-01T00:47:30.000","2013-01-01T00:13:45.000","2013-01-01T00:13:46.000","21","COMPLAINT OTHER","70127"
"077XX S Coronet Ct","NAT","NECESSARY ACTION TAKEN","POINT (-90.00103041343178 30.025354991846285)",,,,,"3702433.00000000","557164.00000000","A0006413","7","2B",,"2013-01-01T00:55:33.000","2013-01-01T00:13:28.000","2013-01-01T00:25:04.000","94","DISCHARGING FIREARM","70126"
"049XX Eastern St","UNF","UNFOUNDED","POINT (-90.04698943982416 30.008979369860967)",,,,,"3687957.00000000","551043.00000000","A0006513","3","1H",,"2013-01-01T01:13:26.000","2013-01-01T00:13:30.000","2013-01-01T00:52:59.000","94F","FIREWORKS","70122"
"025XX N Miro St","UNF","UNFOUNDED","POINT (-90.05067270833916 29.980066209992113)",,,,,"3686909.00000000","540516.00000000","A0006613","5","2B","2013-01-01T01:09:58.000","2013-01-01T01:13:08.000","2013-01-01T00:13:05.000","2013-01-01T01:07:04.000","103D","DOMESTIC DISTURBANCE","70117"
"009XX N Tonti St","RTF","REPORT TO FOLLOW","POINT (-90.07810655867196 29.969801006151098)",,,,,"3678265.00000000","536687.00000000","A0006713","1","2B","2013-01-01T00:15:56.000","2013-01-01T03:44:33.000","2013-01-01T00:15:10.000","2013-01-01T00:15:10.000","94","DISCHARGING FIREARM","70119"
"001XX Wren St","UNF","UNFOUNDED","POINT (-90.09453504529499 30.023113648552716)",,,,,"3672854.00000000","556017.00000000","A0006813","3","2C",,"2013-01-01T01:03:19.000","2013-01-01T00:14:27.000","2013-01-01T00:47:03.000","62A","BURGLAR ALARM, SILEN","70124"
"147XX Chef Menteur Hwy","UNF","UNFOUNDED","POINT (-89.90620646178978 30.038160978091508)",,,,,"3732380.00000000","562182.00000000","A0006913","7","1E","2013-01-01T03:54:49.000","2013-01-01T04:02:47.000","2013-01-01T00:13:28.000","2013-01-01T03:42:35.000","100","HIT & RUN","70129"
"001XX Canal St","GOA","GONE ON ARRIVAL","POINT (-90.06433515988114 29.949723217770586)",,,,,"3682706.00000000","529434.00000000","A0007013","8","1H","2013-01-01T00:17:56.000","2013-01-01T01:49:56.000","2013-01-01T00:15:18.000","2013-01-01T00:15:22.000","21","COMPLAINT OTHER","70130"
"002XX 22nd St","NAT","NECESSARY ACTION TAKEN","POINT (-90.11776888274453 30.00493570130218)",,,,,"3665572.00000000","549328.00000000","A0007113","3","2C","2013-01-01T01:01:23.000","2013-01-01T01:04:09.000","2013-01-01T00:15:51.000","2013-01-01T00:49:47.000","62A","BURGLAR ALARM, SILEN","70124"
"135XX Saint Marie Dr","NAT","NECESSARY ACTION TAKEN","POINT (-89.9320961234569 30.057017959499547)",,,,,"3724105.00000000","568938.00000000","A0007213","7","1H",,"2013-01-01T02:38:30.000","2013-01-01T00:15:21.000","2013-01-01T02:38:26.000","94F","FIREWORKS","70129"
"022XX N Prieur St","NAT","NECESSARY ACTION TAKEN","POINT (-90.05580468059496 29.976697884471047)",,,,,"3685298.00000000","539273.00000000","A0007413","5","1H","2013-01-01T00:55:39.000","2013-01-01T01:07:38.000","2013-01-01T00:16:37.000","2013-01-01T00:46:46.000","21","COMPLAINT OTHER","70117"
"017XX Bayou Rd","GOA","GONE ON ARRIVAL","POINT (-90.06988481305602 29.96857283528649)",,,,,"3680873.00000000","536269.00000000","A0007513","1","2H","2013-01-01T00:21:10.000","2013-01-01T00:25:38.000","2013-01-01T00:16:05.000","2013-01-01T00:18:29.000","21","COMPLAINT OTHER","70116"
"Farragut St & Lawrence St","UNF","UNFOUNDED","POINT (-90.034147982929 29.938425825602266)",,,,,"3692312.00000000","525433.00000000","A0007613","4","2B",,"2013-01-01T00:19:35.000","2013-01-01T00:17:35.000","2013-01-01T00:19:17.000","94","DISCHARGING FIREARM","70114"
"Alhambra St & Delery St","GOA","GONE ON ARRIVAL","POINT (-90.01171417822204 29.951523451855206)",,,,,"3699362.00000000","530277.00000000","A0007713","5","2B","2013-01-01T00:58:15.000","2013-01-01T00:58:24.000","2013-01-01T00:14:12.000","2013-01-01T00:52:12.000","107","SUSPICIOUS PERSON","70117"
"Chartres St & Flood St","UNF","UNFOUNDED","POINT (-90.01842766248313 29.956334480154563)",,,,,"3697216.00000000","532002.00000000","A0007813","5","1H","2013-01-01T01:27:25.000","2013-01-01T01:33:06.000","2013-01-01T00:18:25.000","2013-01-01T01:22:09.000","94F","FIREWORKS","70117"
"Pauline Dr & Prentiss Ave","UNF","UNFOUNDED","POINT (-90.03497251546854 30.02090907747681)",,,,,"3691711.00000000","555424.00000000","A0007913","3","2B","2013-01-01T00:37:22.000","2013-01-01T00:38:28.000","2013-01-01T00:20:15.000","2013-01-01T00:33:38.000","94","DISCHARGING FIREARM","70126"
"014XX N Claiborne Ave","NAT","NECESSARY ACTION TAKEN","POINT (-90.06852875292674 29.96990455496394)",,,,,"3681297.00000000","536758.00000000","A0008013","1","2C",,"2013-01-01T00:23:34.000","2013-01-01T00:21:01.000","2013-01-01T00:22:29.000","62A","BURGLAR ALARM, SILEN","70116"
"069XX Bunker Hill Rd","UNF","UNFOUNDED","POINT (-89.9891658939432 30.03268962982817)",,,,,"3706156.00000000","559875.00000000","A0008113","7","2B","2013-01-01T00:37:56.000","2013-01-01T00:41:23.000","2013-01-01T00:21:10.000","2013-01-01T00:24:50.000","94","DISCHARGING FIREARM","70127"
"S Claiborne Ave & Poydras St","RTF","REPORT TO FOLLOW","POINT (-90.08238083180706 29.95361126309388)",,,,,"3676976.00000000","530785.00000000","A0008213","8","1C","2013-01-01T01:24:38.000","2013-01-01T02:34:21.000","2013-01-01T00:21:05.000","2013-01-01T01:20:38.000","20","AUTO ACCIDENT","70112"
"039XX Gentilly Blvd","UNF","UNFOUNDED","POINT (-90.0451604836265 30.002823527400984)",,,,,"3688561.00000000","548811.00000000","A0008313","3","2B","2013-01-01T00:30:27.000","2013-01-01T00:33:27.000","2013-01-01T00:20:05.000","2013-01-01T00:27:05.000","94","DISCHARGING FIREARM","70126"
"006XX Decatur St","RTF","REPORT TO FOLLOW","POINT (-90.06310829672566 29.956300375853115)",,,,,"3683068.00000000","531830.00000000","A0008413","8","2B","2013-01-01T00:55:11.000","2013-01-01T03:51:28.000","2013-01-01T00:23:19.000","2013-01-01T00:34:00.000","65P","SIMPLE ROBBERY PROPE","70130"
"017XX Numa St","UNF","UNFOUNDED","POINT (-90.03598686330965 29.937360467351255)",,,,,"3691734.00000000","525039.00000000","A0008513","4","2B","2013-01-01T00:34:53.000","2013-01-01T00:37:59.000","2013-01-01T00:23:45.000","2013-01-01T00:28:35.000","94","DISCHARGING FIREARM","70114"
"Pauline St & Urquhart St","UNF","UNFOUNDED","POINT (-90.0366685503909 29.96800500070876)",,,,,"3691392.00000000","536180.00000000","A0008613","5","2B","2013-01-01T00:35:07.000","2013-01-01T00:37:15.000","2013-01-01T00:23:36.000","2013-01-01T00:32:27.000","94","DISCHARGING FIREARM","70117"
"022XX Marais St","NAT","NECESSARY ACTION TAKEN","POINT (-90.05668638052772 29.969506959799407)",,,,,"3685048.00000000","536655.00000000","A0008813","5","2B","2013-01-01T00:42:15.000","2013-01-01T00:52:03.000","2013-01-01T00:23:33.000","2013-01-01T00:37:24.000","94F","FIREWORKS","70117"
"6th St & Chippewa St","NAT","NECESSARY ACTION TAKEN","POINT (-90.08126485988605 29.921997657301564)",,,,,"3677455.00000000","519293.00000000","A0008913","6","1H","2013-01-01T00:28:45.000","2013-01-01T00:30:42.000","2013-01-01T00:23:46.000","2013-01-01T00:27:41.000","94F","FIREWORKS","70115"
"007XX Delachaise St","NAT","NECESSARY ACTION TAKEN","POINT (-90.08802996167921 29.91822287152613)",,,,,"3675327.00000000","517897.00000000","A0009013","6","1H",,"2013-01-01T00:40:19.000","2013-01-01T00:23:15.000","2013-01-01T00:36:26.000","94F","FIREWORKS","70115"
"N Rendon St & Saint Philip St","NAT","NECESSARY ACTION TAKEN","POINT (-90.08621574947192 29.97676406192181)",,,,,"3675670.00000000","539191.00000000","A0009213","1","1B",,"2013-01-01T00:31:32.000","2013-01-01T00:25:05.000","2013-01-01T00:31:26.000","94","DISCHARGING FIREARM","70119"
"013XX Frenchmen St","UNF","UNFOUNDED","POINT (-90.05836344259286 29.970502215320835)",,,,,"3684513.00000000","537011.00000000","A0009313","5","2B","2013-01-01T00:45:55.000","2013-01-01T00:49:25.000","2013-01-01T00:24:37.000","2013-01-01T00:44:06.000","94","DISCHARGING FIREARM","70116"
"Pauline St & Royal St","UNF","UNFOUNDED","POINT (-90.0384849390448 29.96189863387969)",,,,,"3690842.00000000","533953.00000000","A0009413","5","1H","2013-01-01T01:13:20.000","2013-01-01T01:22:00.000","2013-01-01T00:26:40.000","2013-01-01T01:13:18.000","94F","FIREWORKS","70117"
